Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Model -1.20252 -3.9357E+00 0.4915 
IC_1613  Model -1.15422 -3.9366E+00 0.2763 
IC_1613  Model -1.11075 -3.9376E+00 0.2067 
IC_1613  Model -1.05276 -3.9393E+00 0.2519 
IC_1613  Model -1.01800 -3.9405E+00 0.2267 
IC_1613  Model -0.97058 -3.9426E+00 0.2275 
IC_1613  Model -0.94161 -3.9441E+00 0.1834 
IC_1613  Model -0.91446 -3.9457E+00 0.1869 
IC_1613  Model -0.87667 -3.9482E+00 0.2068 
IC_1613  Model -0.85319 -3.9500E+00 0.2346 
IC_1613  Model -0.83091 -3.9519E+00 0.2160 
IC_1613  Model -0.79951 -3.9549E+00 0.2006 
IC_1613  Model -0.77976 -3.9570E+00 0.1771 
IC_1613  Model -0.75173 -3.9603E+00 0.1691 
IC_1613  Model -0.73400 -3.9626E+00 0.1498 
IC_1613  Model -0.71697 -3.9650E+00 0.1430 
IC_1613  Model -0.69261 -3.9687E+00 0.1367 
IC_1613  Model -0.67710 -3.9713E+00 0.1333 
IC_1613  Model -0.66212 -3.9739E+00 0.1318 
IC_1613  Model -0.64058 -3.9780E+00 0.1091 
IC_1613  Model -0.62679 -3.9809E+00 0.0963 
IC_1613  Model -0.60690 -3.9852E+00 0.0971 
IC_1613  Model -0.59412 -3.9882E+00 0.1025 
IC_1613  Model -0.58172 -3.9913E+00 0.0971 
IC_1613  Model -0.56374 -3.9960E+00 0.0988 
IC_1613  Model -0.55216 -3.9992E+00 0.0895 
IC_1613  Model -0.54088 -4.0024E+00 0.0866 
IC_1613  Model -0.52449 -4.0074E+00 0.0890 
IC_1613  Model -0.51390 -4.0108E+00 0.0883 
IC_1613  Model -0.49848 -4.0160E+00 0.0793 
IC_1613  Model -0.48849 -4.0196E+00 0.0777 
IC_1613  Model -0.47873 -4.0232E+00 0.0766 
IC_1613  Model -0.46449 -4.0287E+00 0.0777 
IC_1613  Model -0.45525 -4.0324E+00 0.0798 
IC_1613  Model -0.44620 -4.0361E+00 0.0731 
IC_1613  Model -0.43297 -4.0419E+00 0.0658 
IC_1613  Model -0.42437 -4.0457E+00 0.0551 
IC_1613  Model -0.41178 -4.0516E+00 0.0531 
IC_1613  Model -0.40359 -4.0556E+00 0.0532 
IC_1613  Model -0.39555 -4.0596E+00 0.0562 
IC_1613  Model -0.38376 -4.0657E+00 0.0562 
IC_1613  Model -0.37607 -4.0698E+00 0.0584 
IC_1613  Model -0.36852 -4.0740E+00 0.0597 
IC_1613  Model -0.35743 -4.0802E+00 0.0573 
