# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.339564090297987229e-14 3.689080238053977969e-03 3.673727259444534848e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.363532057474613662e-14 2.578880942180338063e-03 1.961573491894436083e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 4.170225095738051496e-14 1.383950532930125271e-03 8.012071535846132173e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 7.357961274155570078e-14 7.303643657726690457e-04 3.209545127386638844e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.298241530590361534e-13 3.798078477234428387e-04 1.265790381970375612e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.290622373441387703e-13 3.260616603749752376e-04 8.245068422849608772e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 4.041582967480835065e-13 3.319344431664296435e-04 6.366212001657985163e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 7.130984605939525963e-13 2.209569778674937287e-04 3.198581893866310108e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.258193679538452461e-12 1.932738122559713226e-04 2.109526399105625903e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.219961790286235902e-12 -6.860029761687342882e-04 -5.600913833043220675e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 3.916909161504292686e-12 -2.164343409476395278e-04 -1.310477075622041611e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 1.339564090297987229e-14 1.382201932178117638e-15 6.788083453861607896e-04 1.406730210722027113e-02 9.708287439144076547e-01
