name,ra,dec,Vsys,env_class,group_name,env_dense,logMh,local_density,team_release
WALLABY J103651-260227,159.213094,-26.041061,2362.4,cluster,Hydra,dense,14.5,7.8986,Hydra TR1
WALLABY J103653-270311,159.221562,-27.053080,3545.1,cluster,Hydra,dense,14.5,631.6113,Hydra TR1
WALLABY J103655-265412,159.233002,-26.902939,3235.3,cluster,Hydra,dense,14.5,820.7111,Hydra TR2
WALLABY J103702-273359,159.259274,-27.566538,2848.0,cluster,Hydra,dense,14.5,8946.0339,Hydra TR1
WALLABY J103725-251916,159.357154,-25.321266,3709.9,field,field,field,11.0,3183.4699,Hydra TR1
WALLABY J103818-285307,159.575174,-28.885287,4388.7,cluster,Hydra,dense,14.5,240.9625,Hydra TR1
WALLABY J103915-301757,159.815676,-30.299172,3755.1,field,field,field,11.0,322.1989,Hydra TR1
WALLABY J103918-265030,159.826016,-26.841685,3076.0,cluster,Hydra,dense,14.5,54.5256,Hydra TR1
WALLABY J103922-293505,159.841941,-29.584753,3875.2,field,field,field,11.0,150.9752,Hydra TR1
WALLABY J104000-292445,160.001253,-29.412685,3766.5,field,field,field,11.0,164.5990,Hydra TR1
WALLABY J104004-301606,160.017632,-30.268357,3396.8,field,field,field,11.0,4880.0646,Hydra TR1
WALLABY J104016-274630,160.069776,-27.775227,3970.1,cluster,Hydra,dense,14.5,10050.7799,Hydra TR1
WALLABY J104059-270456,160.247075,-27.082322,4742.0,cluster,Hydra,dense,14.5,11.6548,Hydra TR1
WALLABY J104309-300301,160.790627,-30.050318,3199.0,field,field,field,11.0,19.4506,Hydra TR1
WALLABY J104311-261500,160.797598,-26.250004,4518.8,cluster,Hydra,dense,14.5,7.9181,Hydra TR1
WALLABY J104339-285157,160.913222,-28.866080,3456.0,field,field,field,11.0,11.2011,Hydra TR1
WALLABY J104905-292232,162.272498,-29.375683,4276.8,field,field,field,11.0,0.3832,Hydra TR2
WALLABY J122708+055255,186.786881,5.882087,1114.5,field,field,field,11.0,25.9329,NGC 4636 TR1
WALLABY J122710+071549,186.795255,7.263869,925.2,field,field,field,11.0,320.2367,NGC 4636 TR1
WALLABY J122726+061551,186.859746,6.264180,1447.2,field,field,field,11.0,3.8542,NGC 4636 TR1
WALLABY J122733+061359,186.888003,6.233268,6402.0,field,field,field,11.0,0.0012,NGC 4636 TR1
WALLABY J122852+041739,187.218610,4.294198,4232.4,field,field,field,11.0,1.9175,NGC 4636 TR1
WALLABY J122932+005020,187.384985,0.839138,2236.3,field,field,field,11.0,1.3236,NGC 4636 TR1
WALLABY J123026+041450,187.611365,4.247236,2430.2,field,field,field,11.0,0.4852,NGC 4636 TR1
WALLABY J123138+035620,187.912053,3.938939,1723.2,field,field,field,11.0,8.4416,NGC 4636 TR1
WALLABY J123228+002315,188.117089,0.387691,1519.4,field,field,field,11.0,17.5037,NGC 4636 TR1
WALLABY J123236+023943,188.153041,2.662205,1726.7,field,field,field,11.0,106.8070,NGC 4636 TR1
WALLABY J123244+000656,188.186668,0.115682,1130.0,field,field,field,11.0,231.2304,NGC 4636 TR1
WALLABY J123407+023905,188.531326,2.651415,1735.9,field,field,field,11.0,335.1721,NGC 4636 TR1
WALLABY J123427+021108,188.614786,2.185731,1802.8,field,field,field,11.0,152.6688,NGC 4636 TR1
WALLABY J123530-021940,188.876358,-2.327848,7133.4,field,field,field,11.0,1.3154,NGC 4636 TR1
WALLABY J123554-015112,188.978331,-1.853388,6873.4,field,field,field,11.0,0.2719,NGC 4636 TR1
WALLABY J123555-025405,188.981196,-2.901571,7119.2,field,field,field,11.0,0.4828,NGC 4636 TR1
WALLABY J123630+001315,189.127332,0.220840,3712.8,field,field,field,11.0,18.2312,NGC 4636 TR1
WALLABY J123641+030621,189.173373,3.106038,1440.4,field,field,field,11.0,57.8674,NGC 4636 TR1
WALLABY J123703+065533,189.263456,6.926040,1632.8,field,field,field,11.0,38.2662,NGC 4636 TR1
WALLABY J123803-021549,189.514622,-2.263744,2571.6,field,field,field,11.0,11.5685,NGC 4636 TR1
WALLABY J123805-000137,189.522536,-0.027000,3747.0,field,field,field,11.0,17.7362,NGC 4636 TR1
WALLABY J123835+012413,189.648165,1.403613,5195.4,field,field,field,11.0,0.6320,NGC 4636 TR1
WALLABY J123911+004305,189.797457,0.718167,5091.0,field,field,field,11.0,1.7992,NGC 4636 TR1
WALLABY J123917-003149,189.822341,-0.530497,1064.7,field,field,field,11.0,50.7570,NGC 4636 TR1
WALLABY J123949+014016,189.957738,1.671153,1217.7,rich_group,NGC4636,dense,13.3,462.0429,NGC 4636 TR1
WALLABY J123954-004804,189.978347,-0.801268,4443.3,field,field,field,11.0,1.7531,NGC 4636 TR1
WALLABY J123955-000822,189.980006,-0.139512,3057.8,field,field,field,11.0,4.7708,NGC 4636 TR1
WALLABY J124111+012435,190.298307,1.409857,1701.7,rich_group,NGC4636,dense,13.3,221.9538,NGC 4636 TR1
WALLABY J124111-013526,190.295872,-1.590633,3997.2,field,field,field,11.0,2.4082,NGC 4636 TR1
WALLABY J124231+035729,190.630071,3.958306,745.1,rich_group,NGC4636,dense,13.3,184.3590,NGC 4636 TR1
WALLABY J124232-012111,190.635105,-1.353049,1111.8,field,field,field,11.0,52.8884,NGC 4636 TR1
WALLABY J124240+012047,190.669270,1.346460,5019.8,field,field,field,11.0,0.6037,NGC 4636 TR1
WALLABY J124257-011345,190.739472,-1.229414,3210.7,field,field,field,11.0,2.3161,NGC 4636 TR1
WALLABY J124317-003841,190.823374,-0.644925,2640.5,field,field,field,11.0,5.4137,NGC 4636 TR1
WALLABY J124350-003344,190.960791,-0.562425,2620.5,field,field,field,11.0,4.3204,NGC 4636 TR1
WALLABY J124428+002815,191.118999,0.470914,1177.0,field,field,field,11.0,68.0355,NGC 4636 TR1
WALLABY J124428-030017,191.117913,-3.004803,7155.4,field,field,field,11.0,0.0669,NGC 4636 TR1
WALLABY J124433-021916,191.140971,-2.321191,1587.4,field,field,field,11.0,18.6363,NGC 4636 TR1
WALLABY J124508-002747,191.284517,-0.463223,1518.8,field,field,field,11.0,5649.3716,NGC 4636 TR1
WALLABY J124519-004538,191.330192,-0.760787,6898.8,field,field,field,11.0,0.4244,NGC 4636 TR1
WALLABY J124645+055723,191.690582,5.956428,828.5,field,field,field,11.0,44.5995,NGC 4636 TR1
WALLABY J124753-011107,191.972431,-1.185289,7012.6,field,field,field,11.0,0.6022,NGC 4636 TR1
WALLABY J124947+035042,192.449332,3.845206,698.6,field,field,field,11.0,681.7346,NGC 4808 TR1
WALLABY J124950+025100,192.459588,2.850217,1148.9,field,field,field,11.0,22.7059,NGC 4808 TR1
WALLABY J125038+012749,192.661388,1.463646,1268.0,field,field,field,11.0,7.5335,NGC 4636 TR1
WALLABY J125451+023900,193.714221,2.650154,936.6,field,field,field,11.0,37.2904,NGC 4808 TR1
WALLABY J125515+081543,193.813773,8.262030,21410.1,field,field,field,11.0,0.0000,NGC 4808 TR1
WALLABY J125548+041805,193.952317,4.301584,756.3,group,NGC4808,dense,12.7,1121.7205,NGC 4808 TR1
WALLABY J125549+040049,193.956351,4.013833,703.4,group,NGC4808,dense,12.7,1692.3171,NGC 4808 TR1
WALLABY J125604+034843,194.019327,3.812094,613.8,group,NGC4808,dense,12.7,1297.0604,NGC 4808 TR1
WALLABY J125907-121329,194.779284,-12.224818,1316.4,field,field,field,11.0,3.8680,NGC5044 TR3
WALLABY J125939-145813,194.914351,-14.970294,4945.9,field,field,field,11.0,3.3927,NGC5044 TR3
WALLABY J125956-192430,194.983337,-19.408434,830.1,field,field,field,11.0,4.5660,NGC5044 TR3
WALLABY J130017-122041,195.071759,-12.344942,1573.2,field,field,field,11.0,3.5725,NGC5044 TR3
WALLABY J130053-132655,195.223030,-13.448608,2554.3,field,field,field,11.0,9.4782,NGC5044 TR3
WALLABY J130056-135640,195.233469,-13.944505,2661.1,field,field,field,11.0,20.8762,NGC5044 TR3
WALLABY J130059-143042,195.247702,-14.511922,2630.3,field,field,field,11.0,28.4660,NGC5044 TR3
WALLABY J130148-114530,195.453465,-11.758563,5934.1,field,field,field,11.0,2.0485,NGC5044 TR3
WALLABY J130203-145302,195.514942,-14.884083,1350.0,field,field,field,11.0,54.4470,NGC5044 TR3
WALLABY J130213-145817,195.555229,-14.971501,4855.7,field,field,field,11.0,5.4641,NGC5044 TR3
WALLABY J130213-171416,195.557829,-17.237824,720.6,field,field,field,11.0,79.7792,NGC5044 TR3
WALLABY J130221-154600,195.590276,-15.766894,4821.2,field,field,field,11.0,2.8395,NGC5044 TR3
WALLABY J130223-122031,195.599000,-12.341988,5130.1,field,field,field,11.0,1.3208,NGC5044 TR3
WALLABY J130225-174046,195.608220,-17.679477,4647.7,field,field,field,11.0,1.6516,NGC5044 TR3
WALLABY J130228-204117,195.619045,-20.688228,8395.2,field,field,field,11.0,0.0050,NGC5044 TR3
WALLABY J130235-113803,195.649880,-11.634255,3483.1,field,field,field,11.0,3.8957,NGC5044 TR3
WALLABY J130305+035925,195.774859,3.990380,2857.6,field,field,field,11.0,0.5306,NGC 4808 TR1
WALLABY J130311-172230,195.798167,-17.375083,2959.3,field,field,field,11.0,10.9887,NGC 5044 TR2
WALLABY J130314-172514,195.811884,-17.420712,740.5,field,field,field,11.0,97.5777,NGC5044 TR3
WALLABY J130315+074816,195.813065,7.804480,2919.8,field,field,field,11.0,0.5140,NGC 4808 TR1
