recno	ID	Rad	VRot	E_VRot	e_VRot
1688	"NGC4548 "	3.425	206.542	26.499	16.0643
1689	"NGC4548 "	3.575	202.673	26.8247	15.993
1690	"NGC4548 "	3.725	201.731	27.7602	21.8625
1691	"NGC4548 "	3.875	202.782	29.3547	17.7466
1692	"NGC4548 "	4.025	200.212	25.9116	18.4056
1693	"NGC4548 "	4.175	197.764	21.4488	20.7382
1694	"NGC4548 "	4.325	195.458	20.9606	19.8853
1695	"NGC4548 "	4.475	191.824	23.103	16.6377
1696	"NGC4548 "	4.625	194.024	21.9163	16.1271
1697	"NGC4548 "	4.775	192.945	18.1633	14.9656
1698	"NGC4548 "	4.925	183.803	16.1274	12.1901
1699	"NGC4548 "	5.075	178.462	16.1768	11.6755
1700	"NGC4548 "	5.225	173.228	16.6049	11.1426
1701	"NGC4548 "	5.375	169.217	16.7082	10.8248
1702	"NGC4548 "	5.525	164.587	16.27	11.2431
1703	"NGC4548 "	5.675	161.871	17.6581	11.0111
1704	"NGC4548 "	5.825	164.176	19.6723	12.2648
1705	"NGC4548 "	5.975	167.757	16.9141	14.475
1706	"NGC4548 "	6.125	168.161	17.9817	12.8512
1707	"NGC4548 "	6.275	168.41	18.9069	12.6588
1708	"NGC4569 "	0.125	7.3435	13.1698	10.7886
1709	"NGC4569 "	0.275	49.2187	11.2422	15.8254
1710	"NGC4569 "	0.425	71.991	11.8242	15.8462
1711	"NGC4569 "	0.575	92.1367	10.7951	16.0184
1712	"NGC4569 "	0.725	95.5165	9.7143	13.6725
1713	"NGC4569 "	0.875	90.0369	5.8287	9.6673
1714	"NGC4569 "	1.025	81.1611	5.3602	7.199
1715	"NGC4569 "	1.175	78.3527	7.5673	6.8392
1716	"NGC4569 "	1.325	79.7515	5.9205	7.5308
1717	"NGC4569 "	1.475	88.6649	3.5625	7.8313
1718	"NGC4569 "	1.625	100.79	4.7462	6.816
1719	"NGC4569 "	1.775	108.252	4.117	6.4674
1720	"NGC4569 "	1.925	110.18	3.6447	4.7218
1721	"NGC4569 "	2.075	115.694	4.2829	4.2066
1722	"NGC4569 "	2.225	121.327	4.3092	3.5368
1723	"NGC4569 "	2.375	127.647	4.9672	3.5617
1724	"NGC4569 "	2.525	132.833	5.8588	3.9508
1725	"NGC4569 "	2.675	135.253	4.7586	6.2816
1726	"NGC4569 "	2.825	136.881	4.6748	4.4356
1727	"NGC4569 "	2.975	142.712	4.1133	4.235
1728	"NGC4569 "	3.125	142.395	3.7821	3.4706
1729	"NGC4569 "	3.275	144.442	3.3249	3.8744
1730	"NGC4569 "	3.425	148.014	3.0233	4.1369
1731	"NGC4569 "	3.575	150.829	3.5801	3.2032
1732	"NGC4569 "	3.725	153.593	2.3099	3.3975
1733	"NGC4569 "	3.875	156.605	2.62	3.2473
1734	"NGC4569 "	4.025	159.425	3.1	4.0161
1735	"NGC4569 "	4.175	163.306	3.2333	4.5274
1736	"NGC4569 "	4.325	165.963	3.0956	5.6461
1737	"NGC4569 "	4.475	169.49	3.2459	7.2724
1738	"NGC4569 "	4.625	172.022	2.4831	6.8937
1739	"NGC4569 "	4.775	175.253	3.2069	6.1576
1740	"NGC4569 "	4.925	179.372	2.5697	5.883
1741	"NGC4569 "	5.075	183.981	2.0716	5.4903
1742	"NGC4569 "	5.225	186.106	3.0318	4.3175
1743	"NGC4569 "	5.375	187.53	3.9983	4.2396
1744	"NGC4569 "	5.525	187.732	3.4368	5.2434
1745	"NGC4569 "	5.675	189.657	4.1011	5.3842
1746	"NGC4569 "	5.825	190.371	5.075	4.412
1747	"NGC4569 "	5.975	192.51	5.8678	4.558
1748	"NGC4569 "	6.125	193.024	4.8918	5.6552
1749	"NGC4569 "	6.275	191.288	6.7733	5.5908
1750	"NGC4569 "	6.425	192.758	8.115	6.126
1751	"NGC4569 "	6.575	199.753	6.7089	8.5903
1752	"NGC4569 "	6.725	202.469	7.362	8.1804
1753	"NGC4569 "	6.875	205.41	7.8661	8.6198
1754	"NGC4569 "	7.025	210.878	8.6027	8.6568
1755	"NGC4569 "	7.175	216.192	8.0357	9.0572
1756	"NGC4569 "	7.325	219.225	8.2156	8.7974
1757	"NGC4569 "	7.475	225.387	7.6078	9.9184
1845	"NGC4654 "	0.125	12.0383	2.3957	2.08
1846	"NGC4654 "	0.275	26.651	3.1401	3.3717
1847	"NGC4654 "	0.425	35.8977	4.2662	3.6166
1848	"NGC4654 "	0.575	40.1883	4.4138	4.2685
1849	"NGC4654 "	0.725	46.4652	3.8808	2.8706
1850	"NGC4654 "	0.875	54.4802	4.9566	3.52
1851	"NGC4654 "	1.025	64.6668	5.7899	4.3926
1852	"NGC4654 "	1.175	75.9008	5.4041	4.7512
1853	"NGC4654 "	1.325	82.9402	5.9592	3.9397
1854	"NGC4654 "	1.475	89.2769	6.7526	4.3838
1855	"NGC4654 "	1.625	92.4324	6.6046	3.5767
1856	"NGC4654 "	1.775	98.7631	6.0455	4.0365
1857	"NGC4654 "	1.925	103.812	6.4062	3.144
1858	"NGC4654 "	2.075	107.018	6.8384	3.0199
1859	"NGC4654 "	2.225	114.162	8.0406	4.0436
1860	"NGC4654 "	2.375	120.085	8.2533	4.0937
1861	"NGC4654 "	2.525	125.002	6.9334	4.9115
1862	"NGC4654 "	2.675	128.699	5.6237	4.8134
1863	"NGC4654 "	2.825	130.978	4.7474	5.0028
1864	"NGC4654 "	2.975	132.056	4.5202	4.5618
1865	"NGC4654 "	3.125	132.634	5.1803	2.7895
1866	"NGC4654 "	3.275	133.095	4.9773	2.1416
1867	"NGC4654 "	3.425	129.44	5.8906	2.384
1868	"NGC4654 "	3.575	129.381	9.6728	2.5572
1869	"NGC4654 "	3.725	132.394	12.3972	3.1688
1870	"NGC4654 "	3.875	138.031	10.694	4.3525
1871	"NGC4654 "	4.025	139.322	10.7958	5.756
1872	"NGC4654 "	4.175	141.231	12.648	4.9718
1873	"NGC4654 "	4.325	142.929	10.764	5.6495
1874	"NGC4654 "	4.475	143.104	10.0638	5.3778
1875	"NGC4654 "	4.625	144.143	7.647	5.4312
1876	"NGC4654 "	4.775	142.517	9.6596	5.3853
1877	"NGC4654 "	4.925	146.49	10.2916	4.9479
1878	"NGC4654 "	5.075	147.029	9.9991	6.1097
1879	"NGC4654 "	5.225	149.441	8.2749	5.9616
1880	"NGC4654 "	5.375	151.036	7.3356	5.9787
1881	"NGC4654 "	5.525	150.866	5.8506	5.5887
1882	"NGC4654 "	5.675	151.346	5.9917	3.8398
1883	"NGC4654 "	5.825	153.666	6.237	2.891
1884	"NGC4654 "	5.975	154.272	8.4918	2.7314
1885	"NGC4654 "	6.125	155.129	8.4213	3.4016
1886	"NGC4654 "	6.275	155.477	10.2596	4.3586
1887	"NGC4654 "	6.425	157.944	11.4563	5.6756
1888	"NGC4654 "	6.575	161.052	14.7059	6.1687
1889	"NGC4654 "	6.725	161.494	19.0912	5.0887
1890	"NGC4654 "	6.875	162.201	20.3668	6.7983
1891	"NGC4654 "	7.025	168.396	18.9956	10.8067
1892	"NGC4654 "	7.175	172.356	16.5353	13.0782
1893	"NGC4654 "	7.325	175.312	14.8261	14.1096
1894	"NGC4654 "	7.475	174.641	7.98	13.507
1895	"NGC4654 "	7.625	172.651	4.8469	11.2019
1896	"NGC4654 "	7.775	166.199	5.3089	8.8868
1897	"NGC4654 "	7.925	162.354	6.313	5.5396
1898	"NGC4654 "	8.075	160.694	5.8612	5.9504
1899	"NGC4689 "	0.125	30.606	3.5275	5.0539
1900	"NGC4689 "	0.275	47.8668	3.569	4.6425
1901	"NGC4689 "	0.425	68.4426	4.9864	5.6121
1902	"NGC4689 "	0.575	74.4107	5.264	3.9233
1903	"NGC4689 "	0.725	77.0733	4.2853	3.3004
