galaxy,logMh,env_dense,log_Rext,log_npoints,sigma_D_dex,Inc,mean_log_gbar,T2_scatter_transition,T2_scatter_transition_resid,T3_acf_lag1,T3_acf_lag1_resid,T5_xi_coherence_ratio,T5_xi_coherence_ratio_resid,T4_abs_scatter_raw,T4_abs_scatter_resid
231174,11.0,field,0.408274232508882,0.6989700043360189,0.1,60.0,-10.291606,,,,,0.6085394692599095,-0.6417009538881402,0.550096,0.5176942235582453
231195,11.0,field,0.8520684999203361,0.6989700043360189,0.1,60.0,-11.118119,,,,,1.369506440634577,-0.29964658305147673,0.34876260000000003,0.20229070575819108
2336/415-016,14.2,dense,0.807711956878431,0.0,0.1,60.0,-10.50555,,,,,,,0.357037,0.3894387764417547
2375/415-022,14.2,dense,1.018214640838159,0.0,0.1,60.0,-9.870076,,,,,,,0.147262,0.17966377644175469
2391/I1865,14.2,dense,0.946742172791248,0.0,0.1,60.0,-10.122614,,,,,,,0.186169,0.21857077644175466
2405/415-030,14.2,dense,0.9983652392957029,0.0,0.1,60.0,-9.913387,,,,,,,0.175854,0.2082557764417547
241306,11.0,field,0.8263338112779872,0.6989700043360189,0.1,60.0,-11.707225,,,,,1.9484442421917947,-0.19132623808607385,0.2876942,0.16407095146853481
241336,11.0,field,1.0608438897981516,0.6989700043360189,0.1,60.0,-11.311762,,,,,1.6803450074160389,-0.034246814511962764,0.277507,0.1883845647961931
2414/415-031,14.2,dense,0.9614924264163398,0.0,0.1,60.0,-10.110026,,,,,,,0.150394,0.18279577644175465
2415/415-032,14.2,dense,0.9508653677612079,0.0,0.1,60.0,-10.141908,,,,,,,0.160861,0.19326277644175466
2423/415-037,14.2,dense,0.9871406830412233,0.0,0.1,60.0,-9.930193,,,,,,,0.197615,0.23001677644175467
