dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.7,15,1.0,1898,29,14,0.01050865514578016,1898,29,4.781971797371829e-06,0.49427709748919013,0.08603147721588496,0.041579014817487575,0.04445246239839738,2.0691081208518987,14,14,0.0011981866016767772,0.7244897959183674,0.13150178436194182,0.03970450656451949,0.09179727779742233,3.312011550836239,2.1165792185318444
-10.7,15,2.0,985,25,13,0.005248902221325125,985,25,1.6982283257009404e-08,0.6598578680203047,0.09111293243236306,0.037041079171840297,0.05407185326052276,2.4597807210117613,13,13,0.00022222837004574992,0.8579881656804733,0.13296506618322365,0.032934168392281624,0.10003089779094203,4.037298425133001,3.1344027950817535
-10.7,20,0.0,0,20,0,,0,20,,,,0.042825685248970596,,,0,0,,,,,,,
-10.7,20,0.5,0,19,0,,0,19,,,,0.044866745455541056,,,0,0,,,,,,,
-10.7,20,1.0,0,19,0,,0,19,,,,0.041579014817487575,,,0,0,,,,,,,
-10.7,20,2.0,0,15,0,,0,15,,,,0.037829998311551406,,,0,0,,,,,,,
-10.8,10,0.0,4806,48,26,0.010872290945548193,4806,48,0.32597135719649484,0.08227562768761265,0.06793880709588396,0.065564835523587,0.0023739715722969623,1.0362080001168146,26,26,0.023809025780140547,0.3668639053254439,0.07188184288690996,0.04121933873804284,0.03066250414886712,1.743886367118441,0.595514906706508
-10.8,10,0.5,4806,46,26,0.010872290945548193,4806,46,0.05693506538180041,0.16285802167580377,0.06793880709588396,0.050407297062684424,0.017531510033199534,1.3477970661945646,26,26,0.019627067886784,0.37869822485207094,0.07188184288690996,0.04121933873804284,0.03066250414886712,1.743886367118441,0.646492620259263
-10.8,10,1.0,4806,45,26,0.010872290945548193,4806,45,0.012227700133237037,0.21667360244139267,0.06793880709588396,0.04623384581660733,0.021704961279276624,1.4694604330639556,26,26,0.011855593554954125,0.40828402366863914,0.07188184288690996,0.041153917071178304,0.03072792581573166,1.746658592973927,0.7863863441609675
-10.8,10,2.0,4806,39,24,0.008993729647343907,4806,39,0.01177310610847636,0.2338423124939979,0.06778084602456663,0.040728819324869034,0.0270520266996976,1.6641986472507349,24,24,0.0154010146905453,0.4097222222222223,0.07188184288690996,0.03863873254578626,0.033243110341123705,1.8603571636758833,0.7426013140822184
-10.8,15,0.0,1154,30,11,0.01567982248281006,1154,30,0.0004943233785161907,0.37215482380127085,0.09471821695941335,0.04938774369057854,0.04533047326883481,1.917848637768044,11,11,0.03561636409984439,0.5371900826446281,0.08478877942740622,0.04234123411126593,0.042447545316140284,2.002510819703436,0.7780394805323437
-10.8,15,0.5,1154,28,10,0.017218090778772323,1154,28,4.696087405197276e-05,0.44967813815300817,0.09471821695941335,0.04360398978340349,0.05111422717600986,2.172237389970789,10,10,0.021133928129161098,0.6200000000000001,0.10496973847561081,0.04202554613124129,0.06294419234436952,2.4977602467747,1.0385122597743108
-10.8,15,1.0,1154,26,10,0.017218090778772323,1154,26,2.191288113188875e-06,0.5423943474203439,0.09471821695941335,0.041644436484352114,0.053073780475061234,2.2744506819057015,10,10,0.021133928129161098,0.6200000000000001,0.10496973847561081,0.041644436484352114,0.06332530199125869,2.52061853484446,1.0385122597743108
-10.8,15,2.0,661,22,9,0.010356783008886181,661,22,1.923600320662381e-08,0.7036171090634025,0.09943530152990336,0.034477051928519825,0.06495824960138354,2.884101045996027,9,9,0.0019976900972723025,0.8765432098765431,0.11801207281593912,0.032934168392281624,0.0850779044236575,3.5832716773135878,2.3662037494881503
-10.8,20,0.0,0,17,0,,0,17,,,,0.04234123411126593,,,0,0,,,,,,,
-10.8,20,0.5,0,16,0,,0,16,,,,0.04360398978340349,,,0,0,,,,,,,
-10.8,20,1.0,0,16,0,,0,16,,,,0.04202554613124129,,,0,0,,,,,,,
-10.8,20,2.0,0,12,0,,0,12,,,,0.03774064065394991,,,0,0,,,,,,,
