name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
UGC06736,99.999,99.999,99.999,99.999,11.18,137.3,0,0,9.671,142.2,-0.08013,2.027,0,0,22.07,0.219,16.55,0.4789,23.13,0.3432,15.92,0.5362,16.29,2.148,14.48,0.8727,15.12,3.368,14.14,0.9101,13.65,4.208,14.04,1.083,16.89,1.798,14.56,0.9413,17.96,0.9588,15.09,0.9793
UGC06818,99.999,99.999,99.999,99.999,64.13,87.12,0,0,142.3,246.1,0.0605,0.7407,0,0,2310,0.0006349,11.49,4.134,32.09,0.1717,15.39,0.6842,29.27,0.7182,13.88,0.9738,27.52,1.039,13.59,1.017,24.38,0.8545,14.15,1.26,34.94,0.3752,14.16,1.052,37.52,0.1849,14.75,1.115
UGC06858,99.999,99.999,99.999,99.999,13.05,99.17,0,0,5.134,150.8,0.07793,0.5495,0,0,3121,5.596e-05,12.8,6.035,25.04,0.07615,16.21,0.7241,17.89,0.9049,14.05,1.131,16.28,1.479,13.68,1.252,13.58,1.915,13.77,1.428,20.89,0.7475,13.9,1.179,21.78,0.3965,14.5,1.196
UGC06917,99.999,99.999,99.999,99.999,36.92,87.77,0,0,-15.3,107.6,-0.02718,0.8891,0,0,42.85,0.02509,16.23,1.085,74.53,0.02964,14.58,1.981,23.57,2.051,12.05,4.652,59.01,0.502,12.15,1.545,29.02,0.6814,12.68,5.774,18.43,4.734,11.77,3.894,21.15,2.047,12.41,3.716
UGC06923,99.999,99.999,99.999,99.999,26.94,76.34,0,0,21.54,92.52,0.01348,1.21,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,27.72,0.7995,13.65,1.536,25.83,1.341,13.29,1.403,15.01,2.801,13.75,1.085,36.21,0.4692,13.64,1.586,37.66,0.2385,14.25,1.691
UGC06930,99.999,99.999,99.999,99.999,39.75,56.82,0,0,-12.13,63.27,-0.007869,0.9022,0,0,70.46,0.03597,14.12,1.481,47.65,0.1142,13.96,0.8839,49.91,0.4531,12.13,1.458,48.54,0.6852,11.71,1.545,40.93,0.3735,12.52,2.374,48.56,0.4457,12.21,1.438,58.35,0.1844,12.71,1.616
UGC06934,99.999,99.999,99.999,99.999,8.113,137.6,0,0,10.54,130.7,0.08446,4.399,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999
UGC06983,99.999,99.999,99.999,99.999,39.34,82.66,0,0,-9.02,89.91,-0.003967,0.9042,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,62.18,0.2656,12.53,1.748,65.65,0.3295,12.12,1.94,84.72,0.09165,12.67,3.386,197.5,0.04086,11.8,2.855,246.2,0.01779,12.2,2.981
UGC07082,99.999,99.999,99.999,99.999,8.374,196.4,0,0,2.574,202.5,-0.01483,1.037,0,0,-53.75,0.007303,99.999,1,30.77,0.1211,16.17,0.2437,22.32,0.7032,14.19,1.964,21.68,1.174,13.64,2.227,15.4,2.313,13.62,2.322,21.08,1.233,13.86,1.436,21.51,0.6901,14.47,1.368
UGC07089,99.999,99.999,99.999,99.999,50.82,77.97,0,0,29.07,99.96,-0.1316,1.001,0,0,44.42,0.1303,15.64,0.5035,55.01,0.1238,15.06,0.9542,53.35,0.7414,13.12,1.077,53.63,1.013,12.77,1.092,46.57,0.7929,13.24,1.339,66.06,0.3889,13.31,1.189,71.81,0.1601,14.02,1.381
UGC07125,99.999,99.999,99.999,99.999,51.4,65.2,0,0,18.67,76.34,-0.01571,0.8774,0,0,28.76,0.1167,15.96,1.603,44.92,0.1837,14.65,1.245,53.98,0.5067,13.14,1.274,55.25,0.5573,12.97,1.317,41.53,0.4239,13.81,1.526,78.06,0.14,13.64,1.53,98.5,0.06354,13.97,1.625
UGC07145,99.999,99.999,99.999,99.999,8.463,168.7,0,0,6.684,189.6,0.02199,1.409,0,0,-171.3,0.009924,99.999,1,22.74,0.1474,16.4,0.422,18.91,1.4,14.04,0.9405,15.39,3.18,13.61,0.9137,15.74,3.189,13.56,1.307,17.63,2.258,13.8,0.7078,17.47,1.354,14.42,0.6367
UGC07358,99.999,99.999,99.999,99.999,5.595,119.7,0,0,3.186,195.2,-0.0139,0.5966,0,0,28.13,0.1626,16.12,0.3598,28.5,0.2531,15.51,0.4895,23.37,1.77,13.55,0.9719,20.23,3.462,13.15,0.9369,22.59,2.688,13.13,1.5,22.32,2.409,13.36,0.8725,20.45,1.844,14.03,0.6888
UGC07464,99.999,99.999,99.999,99.999,7.085,211.1,0,0,6.538,245.9,-0.05445,1.567,0,0,23.99,0.06108,17.86,0.3898,27.6,0.1855,16.25,0.4147,14.46,3.196,14.1,1.257,12.94,6.47,13.55,1.319,12.07,9.669,13.22,1.445,17.22,3.943,13.61,0.9853,19.08,1.89,14.17,1.023
UGC07516,99.999,99.999,99.999,99.999,7.203,91.87,0,0,6.154,96.96,-0.08919,2.186,0,0,21.75,0.08656,16.53,1.06,19.23,0.1883,16.05,0.7081,14.85,1.317,14.34,1.016,14.68,1.906,13.94,1.077,14.37,2.422,13.71,1.106,17.46,1.066,14.31,0.8612,17.78,0.6322,14.86,0.8344
