recno	PGC	NGC	UGC	IC	Dist	e_Dist	logM*	e_logM*	Gamma*	n_Gamma*	logSFR	e_logSFR	n_logSFR	DelMS	Flags	_RA	_DE
2239	13985	"         "	" "	"       "	16.8	0.12	7.79	0.16	0.2	"SSFRLIKE"	-1.42	0.2	"FUV+WISE4"	0.15	" "	57.92	-38.45361
2208	13854	"         "	" "	"       "	16.8	0.12	8.51	0.1	0.26	"SSFRLIKE"	-1.27	0.2	"NUV+WISE4"	-0.18	" "	56.89167	-38.57694
2126	13534	"NGC1419  "	" "	"       "	22.9	0.06	9.85	0.1	0.5	"SSFRLIKE"	-2.15	0.21	"FUV+WISE4"		" "	55.17543	-37.51077
2194	13805	"NGC1460  "	" "	"       "	20.0	0.06	9.74	0.11	0.5	"SSFRLIKE"	-1.68	0.26	"NUV+WISE4"		"S"	56.55717	-36.69639
2191	13794	"NGC1437B "	" "	"       "	19.0	0.12	9.25	0.11	0.3	"SSFRLIKE"	-0.68	0.2	"NUV+WISE4"	-0.08	" "	56.4786	-36.35692
2166	13655	"         "	" "	"       "	19.0	0.12	8.71	0.1	0.27	"SSFRLIKE"	-1.11	0.2	"FUV+WISE4"	-0.15	" "	55.75875	-36.27333
2183	13753	"         "	" "	"       "	19.7	0.06	9.42	0.1	0.5	"FIXEDUL "			"WISE4    "		"S"	56.2649	-35.9726
2253	14071	"NGC1484  "	" "	"       "	19.0	0.12	9.34	0.24	0.41	"SSFRLIKE"	-1.04	0.2	"FUV+WISE4"	-0.5	" "	58.57496	-36.97064
2313	14407	"         "	" "	"       "	19.0	0.12	8.28	0.1	0.26	"SSFRLIKE"	-1.5	0.2	"FUV+WISE4"	-0.25	"S"	61.10375	-36.18139
2275	14186	"NGC1492  "	" "	"       "	62.3	0.1	10.18	0.1	0.34	"SSFRLIKE"	0.1	0.2	"FUV+WISE4"	0.09	" "	59.55454	-35.44641
13850	132201	"         "	" "	"       "	61.7	0.1	9.43	0.11	0.3	"SSFRLIKE"	-0.51	0.2	"FUV+WISE4"	-0.02	" "	60.22167	-35.23768
2229	13950	"         "	" "	"       "	19.4	0.06	9.17	0.1	0.5	"W4W1    "	-1.98	0.2	"WISE4    "		" "	57.65305	-35.90945
2256	14077	"         "	" "	"IC2006 "	20.2	0.06	10.28	0.1	0.5	"SSFRLIKE"	-1.18	0.2	"FUV+WISE4"		" "	58.61859	-35.96713
2033	13179	"NGC1365  "	" "	"       "	18.1	0.04	10.75	0.1	0.22	"SSFRLIKE"	1.15	0.2	"FUV+WISE4"	0.76	"A,S"	53.40191	-36.14066
2168	13687	"         "	" "	"       "	19.0	0.12	10.12	0.1	0.5	"SSFRLIKE"	-0.68	0.2	"FUV+WISE4"	-0.65	" "	55.90454	-35.85306
2118	13500	"NGC1427A "	" "	"       "	19.0	0.12	9.1	0.17	0.32	"SSFRLIKE"	-0.93	0.2	"FUV+WISE4"	-0.23	" "	55.0375	-35.62611
2155	13609	"NGC1427  "	" "	"       "	19.6	0.06	10.44	0.1	0.5	"SSFRLIKE"	-1.48	0.2	"FUV+WISE4"		"S"	55.58102	-35.39255
2156	13611	"NGC1428  "	" "	"       "	20.7	0.06	9.71	0.1	0.5	"W4W1    "	-2.31	0.21	"WISE4    "		" "	55.59542	-35.15333
2070	13330	"NGC1369  "	" "	"       "	16.6	0.38	9.52	0.19	0.5	"W4W1    "	-2.16	0.21	"WISE4    "		" "	54.18857	-36.25627
2071	13333	"NGC1386  "	" "	"       "	16.5	0.06	10.08	0.1	0.31	"SSFRLIKE"	0.09	0.2	"FUV+WISE4"	0.15	" "	54.19266	-35.99927
2098	13433	"NGC1404  "	" "	"       "	20.2	0.06	11.01	0.1	0.5	"SSFRLIKE"	-0.73	0.2	"FUV+WISE4"		"A,S"	54.71632	-35.59439
2077	13360	"NGC1389  "	" "	"       "	21.2	0.06	10.3	0.11	0.5	"SSFRLIKE"	-2.02	0.21	"FUV+WISE4"		" "	54.29893	-35.74608
2074	13344	"NGC1387  "	" "	"       "	19.3	0.06	10.67	0.1	0.5	"SSFRLIKE"	-0.68	0.2	"FUV+WISE4"		" "	54.23764	-35.50658
2061	13299	"NGC1379  "	" "	"       "	20.0	0.06	10.41	0.1	0.5	"SSFRLIKE"	-1.27	0.2	"FUV+WISE4"		" "	54.01653	-35.44126
2066	13321	"NGC1381  "	" "	"       "	22.0	0.06	10.36	0.1	0.5	"SSFRLIKE"	-1.61	0.2	"FUV+WISE4"		" "	54.13191	-35.29521
2092	13418	"NGC1399  "	" "	"       "	20.9	0.06	11.35	0.1	0.5	"SSFRLIKE"	-0.23	0.2	"FUV+WISE4"		"S"	54.62118	-35.45074
2141	13571	"         "	" "	"       "	12.6	0.12	8.75	0.1	0.36	"SSFRLIKE"	-1.44	0.2	"FUV+WISE4"	-0.51	" "	55.38586	-34.88834
1951	12788	"NGC1326B "	" "	"       "	19.0	0.12	9.02	0.11	0.22	"SSFRLIKE"	-0.6	0.2	"FUV+WISE4"	0.16	"G"	51.33375	-36.38556
1949	12783	"NGC1326A "	" "	"       "	16.1	0.06	8.65	0.1	0.27	"SSFRLIKE"	-1.17	0.2	"FUV+WISE4"	-0.17	"G"	51.28417	-36.36417
1964	12848	"NGC1336  "	" "	"       "	18.3	0.06	9.7	0.1	0.5	"SSFRLIKE"	-1.71	0.2	"NUV+WISE4"		"S"	51.6341	-35.71352
1929	12691	"         "	" "	"       "	19.9	0.06	8.7	0.1	0.44	"SSFRLIKE"	-1.8	0.2	"FUV+WISE4"	-0.83	" "	50.90532	-35.77838
1985	12952	"NGC1351A "	" "	"       "	19.0	0.12	9.51	0.11	0.5	"SSFRLIKE"	-1.31	0.2	"FUV+WISE4"	-0.88	" "	52.20299	-35.17816
1968	12878	"         "	" "	"       "	20.9	0.06	9.47	0.25	0.5	"W4W1    "	-2.35	0.26	"WISE4    "		" "	51.82512	-34.52648
2054	13266	"NGC1375  "	" "	"       "	20.0	0.06	9.84	0.1	0.5	"SSFRLIKE"	-1.88	0.2	"FUV+WISE4"		"G"	53.82001	-35.26566
2055	13267	"NGC1374  "	" "	"       "	19.6	0.06	10.4	0.1	0.5	"SSFRLIKE"	-1.46	0.2	"FUV+WISE4"		"G"	53.81912	-35.22627
2051	13252	"NGC1373  "	" "	"       "	19.3	0.06	9.41	0.1	0.5	"FIXEDUL "			"WISE4    "		" "	53.74666	-35.17108
2065	13318	"NGC1380  "	" "	"       "	21.2	0.06	10.97	0.1	0.5	"SSFRLIKE"	-0.76	0.2	"FUV+WISE4"		" "	54.11496	-34.9763
2025	13157	"         "	" "	"       "	19.0	0.12	8.58	0.1	0.45	"SSFRLIKE"	-1.95	0.2	"FUV+WISE4"	-0.9	" "	53.27833	-34.8075
2072	13335	"NGC1380A "	" "	"       "	20.0	0.06	9.84	0.15	0.5	"W4W1    "	-2.12	0.23	"WISE4    "		" "	54.19792	-34.73965
2058	13277	"         "	" "	"       "	20.8	0.06	10.02	0.1	0.5	"SSFRLIKE"	-1.68	0.2	"FUV+WISE4"		" "	53.87945	-34.44705
2002	13028	"NGC1351  "	" "	"       "	19.2	0.06	10.23	0.1	0.5	"SSFRLIKE"	-1.45	0.2	"FUV+WISE4"		" "	52.64567	-34.85396
2005	13059	"NGC1350  "	" "	"       "	19.0	0.12	10.73	0.1	0.5	"SSFRLIKE"	-0.5	0.2	"FUV+WISE4"		" "	52.78383	-33.62864
2184	13756	"         "	" "	"       "	15.7	0.12	7.52	0.27	0.2	"SSFRLIKE"	-1.69	0.2	"FUV+WISE4"	0.05	" "	56.30058	-35.57092
2195	13809	"         "	" "	"       "	19.0	0.12	10.08	0.11	0.42	"SSFRLIKE"	-0.33	0.2	"FUV+WISE4"	-0.27	" "	56.5792	-34.94356
2204	13840	"         "	" "	"IC1993 "	19.0	0.12	10.12	0.1	0.5	"SSFRLIKE"	-0.7	0.2	"FUV+WISE4"	-0.67	" "	56.77015	-33.70997
2162	13635	"         "	" "	"       "	14.9	0.44	8.86	0.1	0.5	"W4W1    "	-2.19	0.2	"WISE4    "		" "	55.68876	-33.92056
2240	13998	"         "	" "	"       "	19.0	0.12	9.53	0.1	0.5	"SSFRLIKE"	-1.29	0.2	"FUV+WISE4"	-0.87	"S"	58.00379	-33.46761
2133	13550	"         "	" "	"       "	20.0	0.06	9.51	0.11	0.5	"W4W1    "	-2.19	0.21	"WISE4    "		"S"	55.26503	-33.77925
2056	13269	"         "	" "	"       "	13.8	0.47	9.25	0.11	0.5	"FIXEDUL "			"WISE4    "		" "	53.83482	-32.60228
2050	13250	"         "	" "	"       "	21.8	0.29	9.0	0.13	0.43	"SSFRLIKE"	-1.43	0.2	"FUV+WISE4"	-0.66	" "	53.73904	-32.63955
2059	13281	"         "	" "	"       "	18.6	0.06	9.39	0.1	0.5	"SSFRLIKE"	-1.45	0.2	"FUV+WISE4"	-0.94	" "	53.88806	-32.46487
14284	177297	"         "	" "	"       "	57.0	0.11	9.35	0.14	0.42	"SSFRLIKE"	-1.05	0.2	"FUV+WISE4"	-0.51	" "	67.37352	-36.74823
2483	15273	"         "	" "	"       "	57.0	0.11	10.03	0.1	0.33	"SSFRLIKE"	-0.04	0.2	"FUV+WISE4"	0.05	" "	67.36765	-36.70879
2666	15996	"         "	" "	"       "	20.3	0.12	8.26	0.1	0.25	"SSFRLIKE"	-1.45	0.2	"FUV+WISE4"	-0.2	"S"	71.74417	-35.9175
2384	14774	"         "	" "	"       "	59.3	0.11	9.59	0.1	0.28	"SSFRLIKE"	-0.26	0.2	"FUV+WISE4"	0.12	" "	64.11196	-35.73287
2376	14749	"         "	" "	"       "	58.7	0.11	9.38	0.1	0.27	"W4W1    "	-0.7	0.2	"WISE4    "		" "	63.8826	-35.34111
2336	14548	"         "	" "	"       "	17.2	0.38	7.48	0.16	0.2	"SSFRLIKE"	-1.75	0.2	"FUV+WISE4"	0.02	" "	62.18992	-35.3895
2365	14674	"         "	" "	"       "	17.8	0.36	8.73	0.1	0.43	"W4W1    "	-1.96	0.2	"WISE4    "		" "	63.29004	-34.42633
14226	170063	"         "	" "	"       "	37.0	0.17	9.76	0.1	0.5	"SSFRLIKE"	-1.77	0.21	"FUV+WISE4"		" "	68.42485	-33.51263
2726	16199	"         "	" "	"       "	12.8	0.12	9.32	0.2	0.46	"SSFRLIKE"	-1.23	0.2	"FUV+WISE4"	-0.66	"S"	72.98893	-33.17929
2791	16410	"         "	" "	"       "	67.1	0.09	9.05	0.1	0.2	"SSFRLIKE"	-0.37	0.2	"FUV+WISE4"	0.37	" "	74.41917	-32.57611
2702	16120	"NGC1679  "	" "	"       "	11.3	0.12	9.27	0.11	0.27	"SSFRLIKE"	-0.54	0.2	"FUV+WISE4"	0.05	"S"	72.48166	-31.96557
2729	16206	"         "	" "	"       "	52.8	0.12	9.28	0.1	0.24	"SSFRLIKE"	-0.42	0.2	"FUV+WISE4"	0.16	" "	73.05924	-30.07015
2870	16702	"         "	" "	"       "	53.4	0.12	9.95	0.1	0.34	"SSFRLIKE"	-0.17	0.2	"FUV+WISE4"	-0.03	" "	76.27945	-31.78425
2885	16744	"NGC1800  "	" "	"       "	10.0	0.12	8.8	0.1	0.32	"SSFRLIKE"	-1.2	0.2	"FUV+WISE4"	-0.3	" "	76.60724	-31.95422
13972	142491	"         "	" "	"       "	66.5	0.1	9.53	0.12	0.37	"SSFRLIKE"	-0.7	0.2	"FUV+WISE4"	-0.28	" "	75.64742	-30.79757
2921	16879	"         "	" "	"       "	52.2	0.12	9.38	0.1	0.35	"SSFRLIKE"	-0.76	0.2	"FUV+WISE4"	-0.24	" "	77.81685	-29.52513
2904	16811	"NGC1811  "	" "	"       "	50.5	0.13	10.41	0.1	0.5	"SSFRLIKE"	-0.79	0.2	"FUV+WISE4"		" "	77.17804	-29.27594
2908	16819	"NGC1812  "	" "	"       "	53.4	0.12	10.63	0.1	0.5	"SSFRLIKE"	-0.32	0.2	"FUV+WISE4"	-0.63	" "	77.22038	-29.25116
2865	16676	"         "	" "	"       "	51.6	0.12	10.1	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		"S"	76.13705	-29.07011
2817	16498	"         "	" "	"       "	66.5	0.1	9.49	0.1	0.35	"SSFRLIKE"	-0.67	0.2	"FUV+WISE4"	-0.22	" "	74.87666	-28.86742
2692	16084	"         "	" "	"       "	36.6	0.12	9.75	0.12	0.25	"SSFRLIKE"	0.0	0.2	"FUV+WISE4"	0.28	" "	72.30042	-29.2075
2520	15409	"         "	" "	"       "	54.6	0.12	10.09	0.36	0.5	"SSFRLIKE"	-0.77	0.21	"FUV+WISE4"	-0.72	" "	67.89678	-29.75387
2516	15396	"         "	" "	"       "	58.2	0.11	10.59	0.19	0.5	"SSFRLIKE"	-1.22	0.26	"FUV+WISE4"		" "	67.87832	-29.75039
2521	15412	"         "	" "	"       "	58.7	0.11	10.02	0.1	0.33	"SSFRLIKE"	-0.04	0.2	"FUV+WISE4"	0.06	"S"	67.92487	-29.67431
13871	133177	"         "	" "	"       "	58.7	0.11	9.78	0.1	0.5	"SSFRLIKE"	-1.03	0.2	"FUV+WISE4"	-0.77	"S"	67.96409	-29.61905
13973	142495	"         "	" "	"       "	64.7	0.1	8.93	0.1	0.23	"SSFRLIKE"	-0.7	0.2	"FUV+WISE4"	0.11	" "	73.36029	-29.62267
2778	16373	"         "	" "	"IC2106 "	68.2	0.09	10.65	0.1	0.42	"SSFRLIKE"	0.23	0.2	"FUV+WISE4"	-0.09	" "	74.14122	-28.50392
14661	741221	"         "	" "	"       "	67.1	0.09	9.21	0.12	0.38	"SSFRLIKE"	-1.04	0.2	"FUV+WISE4"	-0.41	" "	74.30667	-28.4775
2759	16305	"         "	" "	"       "	65.9	0.1	9.39	0.1	0.28	"SSFRLIKE"	-0.49	0.2	"FUV+WISE4"	0.02	" "	73.66958	-28.65694
2727	16201	"         "	" "	"       "	36.6	0.12	8.84	0.19	0.23	"SSFRLIKE"	-0.81	0.2	"FUV+WISE4"	0.07	" "	73.02458	-28.5925
2728	16202	"         "	" "	"       "	65.3	0.1	9.27	0.1	0.25	"SSFRLIKE"	-0.45	0.2	"FUV+WISE4"	0.14	" "	73.02822	-27.97312
2830	16565	"         "	" "	"       "	52.8	0.12	9.01	0.1	0.22	"SSFRLIKE"	-0.59	0.2	"FUV+WISE4"	0.17	" "	75.3625	-26.83167
2763	16321	"         "	" "	"       "	62.3	0.1	10.22	0.1	0.45	"SSFRLIKE"	-0.3	0.2	"FUV+WISE4"	-0.33	" "	73.75046	-26.03511
2740	16236	"         "	" "	"       "	16.0	0.12	8.73	0.1	0.2	"SSFRLIKE"	-0.77	0.2	"FUV+WISE4"	0.18	"S"	73.22083	-25.24667
2361	14664	"         "	" "	"       "	9.2	0.72	8.27	0.11	0.5	"FIXEDUL "			"WISE4    "		" "	63.21	-33.00306
2358	14656	"         "	" "	"IC2041 "	14.9	0.44	8.8	0.1	0.5	"FIXEDUL "			"WISE4    "		" "	63.14551	-32.81746
2355	14638	"NGC1532  "	" "	"       "	22.4	0.12	11.06	0.1	0.39	"W4W1    "	0.5	0.2	"WISE4    "		" "	63.01817	-32.87416
2352	14635	"NGC1531  "	" "	"       "	22.4	0.12	9.91	0.1	0.49	"W4W1    "	-0.98	0.2	"WISE4    "		"G"	62.9972	-32.85079
2363	14670	"         "	" "	"IC2040 "	10.3	0.12	8.64	0.1	0.29	"W4W1    "	-1.52	0.2	"WISE4    "		" "	63.24907	-32.55336
2371	14702	"         "	" "	"       "	48.1	0.13	10.36	0.14	0.2	"W4W1    "	1.22	0.2	"WISE4    "		" "	63.45708	-32.007
2370	14695	"NGC1537  "	" "	"       "	23.2	0.06	10.73	0.1	0.5	"SSFRLIKE"	-1.44	0.44	"FUV+WISE4"		" "	63.41947	-31.64522
2349	14617	"         "	" "	"       "	16.1	0.39	9.02	0.1	0.35	"SSFRLIKE"	-1.14	0.2	"FUV+WISE4"	-0.38	" "	62.75249	-31.40782
2345	14590	"         "	" "	"       "	16.6	0.39	8.13	0.1	0.32	"SSFRLIKE"	-1.89	0.2	"FUV+WISE4"	-0.55	" "	62.50708	-31.25861
2412	14910	"         "	" "	"IC2059 "	37.0	0.17	10.21	0.1	0.5	"SSFRLIKE"	-1.37	0.2	"FUV+WISE4"		" "	65.10962	-31.72453
2342	14566	"         "	" "	"       "	12.6	0.52	9.72	0.1	0.5	"W4W1    "	-1.62	0.2	"WISE4    "		"S"	62.30588	-30.41515
2294	14271	"         "	" "	"       "	18.4	0.35	8.93	0.11	0.5	"W4W1    "	-2.05	0.21	"WISE4    "		" "	60.17337	-30.83102
2269	14154	"         "	" "	"       "	55.2	0.11	10.61	0.1	0.5	"SSFRLIKE"	-0.64	0.2	"FUV+WISE4"		" "	59.29232	-28.87654
2262	14106	"         "	" "	"       "	22.7	0.12	9.46	0.1	0.32	"SSFRLIKE"	-0.56	0.2	"FUV+WISE4"	-0.09	"S"	58.84478	-28.15831
2330	14505	"         "	" "	"       "	56.4	0.11	10.22	0.13	0.3	"SSFRLIKE"	0.26	0.2	"FUV+WISE4"	0.22	"S"	61.93984	-29.85847
2325	14476	"         "	" "	"       "	56.4	0.11	9.43	0.1	0.33	"SSFRLIKE"	-0.64	0.2	"FUV+WISE4"	-0.16	"G"	61.71029	-27.83077
2326	14477	"         "	" "	"       "	57.0	0.11	9.04	0.1	0.31	"SSFRLIKE"	-0.96	0.2	"FUV+WISE4"	-0.22	"G,S"	61.71042	-27.82083
2502	15346	"         "	" "	"       "	55.2	0.11	9.06	0.1	0.36	"SSFRLIKE"	-1.12	0.2	"FUV+WISE4"	-0.39	" "	67.70908	-29.76431
2507	15359	"         "	" "	"       "	55.8	0.11	9.51	0.41	0.5	"SSFRLIKE"	-1.38	0.22	"FUV+WISE4"	-0.95	" "	67.75942	-29.37895
2488	15292	"NGC1592  "	" "	"       "	10.3	0.64	8.13	0.1	0.2	"SSFRLIKE"	-1.1	0.2	"FUV+WISE4"	0.25	"G,S"	67.42018	-27.40871
2447	15075	"         "	" "	"       "	55.2	0.11	9.0	0.11	0.25	"SSFRLIKE"	-0.75	0.2	"FUV+WISE4"	0.02	" "	66.40717	-26.58778
2493	15311	"         "	" "	"       "	54.6	0.12	10.27	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		" "	67.49846	-26.83716
2489	15293	"         "	" "	"       "	55.8	0.11	10.22	0.1	0.5	"SSFRLIKE"	-0.54	0.2	"FUV+WISE4"	-0.57	" "	67.42501	-26.77293
2484	15276	"NGC1591  "	" "	"       "	55.8	0.11	10.25	0.1	0.27	"SSFRLIKE"	0.44	0.2	"FUV+WISE4"	0.39	" "	67.37724	-26.71312
2491	15297	"         "	" "	"       "	60.5	0.1	9.89	0.1	0.4	"SSFRLIKE"	-0.45	0.2	"FUV+WISE4"	-0.26	" "	67.43275	-26.50194
2678	16036	"         "	" "	"       "	62.9	0.1	10.36	0.12	0.46	"SSFRLIKE"	-0.19	0.2	"FUV+WISE4"	-0.32	" "	72.01341	-25.23036
2587	15729	"         "	" "	"       "	60.5	0.1	10.29	0.1	0.2	"W4W1    "	0.84	0.2	"WISE4    "		" "	69.77666	-24.18415
2588	15734	"         "	" "	"       "	60.5	0.1	9.5	0.11	0.2	"W4W1    "	0.01	0.22	"WISE4    "		"S"	69.79792	-24.18
13890	134123	"         "	" "	"       "	65.9	0.1	10.18	0.1	0.5	"FIXEDUL "			"WISE4    "		" "	69.14915	-23.8616
2601	15780	"         "	" "	"       "	61.1	0.1	9.91	0.11	0.31	"SSFRLIKE"	-0.06	0.2	"FUV+WISE4"	0.11	" "	70.06174	-24.31872
2374	14731	"         "	" "	"       "	51.1	0.12	8.59	0.23	0.2	"SSFRLIKE"	-0.86	0.2	"FUV+WISE4"	0.18	" "	63.78	-22.91472
2397	14837	"         "	" "	"       "	58.7	0.11	9.2	0.1	0.25	"SSFRLIKE"	-0.52	0.2	"FUV+WISE4"	0.12	" "	64.65875	-22.49325
2549	15597	"         "	" "	"       "	16.8	0.12	8.5	0.1	0.29	"SSFRLIKE"	-1.4	0.2	"FUV+WISE4"	-0.3	" "	68.91871	-21.98844
13891	134130	"         "	" "	"       "	58.7	0.11	9.43	0.13	0.33	"SSFRLIKE"	-0.64	0.2	"FUV+WISE4"	-0.15	"S"	65.95542	-23.10083
2433	15024	"         "	" "	"       "	59.9	0.11	10.08	0.1	0.5	"SSFRLIKE"	-1.22	0.21	"FUV+WISE4"		" "	65.93759	-23.08271
2421	14936	"         "	" "	"       "	10.3	0.12	8.99	0.16	0.33	"SSFRLIKE"	-1.06	0.2	"FUV+WISE4"	-0.28	"S"	65.3068	-21.84613
42	568	"         "	" "	"       "	67.6	0.09	10.02	0.1	0.46	"SSFRLIKE"	-0.53	0.2	"FUV+WISE4"	-0.43	" "	1.82998	-64.54358
57	695	"         "	" "	"IC1532 "	34.8	0.12	9.34	0.16	0.39	"SSFRLIKE"	-0.94	0.2	"FUV+WISE4"	-0.4	" "	2.47292	-64.37139
13789	127393	"         "	" "	"       "	21.8	0.29	8.8	0.11	0.49	"W4W1    "	-2.09	0.21	"WISE4    "		" "	4.15021	-64.19386
116	1335	"         "	" "	"       "	20.0	0.12	8.95	0.12	0.39	"SSFRLIKE"	-1.37	0.2	"FUV+WISE4"	-0.56	" "	5.23675	-63.85736
70	803	"         "	" "	"       "	53.4	0.12	8.94	0.1	0.2	"SSFRLIKE"	-0.48	0.2	"FUV+WISE4"	0.33	" "	2.86204	-63.12869
13793	127824	"         "	" "	"       "	52.2	0.12	9.12	0.12	0.31	"SSFRLIKE"	-0.88	0.2	"FUV+WISE4"	-0.19	" "	8.15362	-61.11179
404	3309	"         "	" "	"       "	68.2	0.09	9.98	0.1	0.37	"SSFRLIKE"	-0.24	0.2	"FUV+WISE4"	-0.12	" "	13.9876	-59.66702
13791	127773	"         "	" "	"       "	62.3	0.1	9.32	0.11	0.37	"SSFRLIKE"	-0.92	0.2	"FUV+WISE4"	-0.36	"S"	1.44917	-62.12086
31	328	"NGC7823  "	" "	"       "	62.3	0.1	10.48	0.1	0.27	"SSFRLIKE"	0.66	0.2	"FUV+WISE4"	0.45	" "	1.18998	-62.06152
112	1252	"         "	" "	"       "	63.5	0.1	10.25	0.1	0.46	"SSFRLIKE"	-0.3	0.2	"FUV+WISE4"	-0.35	" "	4.7747	-61.39705
13792	127809	"         "	" "	"       "	65.3	0.1	10.09	0.1	0.35	"SSFRLIKE"	-0.07	0.2	"FUV+WISE4"	-0.02	" "	6.6243	-60.05628
173	1765	"         "	" "	"       "	64.1	0.1	9.78	0.1	0.28	"SSFRLIKE"	-0.08	0.2	"FUV+WISE4"	0.17	" "	7.17645	-59.9435
91	982	"         "	" "	"       "	62.9	0.1	10.65	0.1	0.5	"SSFRLIKE"	-0.1	0.2	"FUV+WISE4"	-0.42	" "	3.67859	-60.32838
56	667	"         "	" "	"       "	63.5	0.1	9.16	0.11	0.29	"SSFRLIKE"	-0.75	0.2	"FUV+WISE4"	-0.09	" "	2.29621	-60.11133
432	3608	"         "	" "	"       "	48.1	0.13	9.06	0.79	0.2	"SSFRLIKE"	-0.42	0.2	"NUV+WISE4"	0.31	" "	15.14274	-57.74849
458	3839	"         "	" "	"       "	49.3	0.13	8.68	0.1	0.2	"SSFRLIKE"	-0.83	0.2	"FUV+WISE4"	0.15	" "	16.20679	-57.3765
502	4248	"         "	" "	"       "	66.5	0.1	9.48	0.1	0.45	"SSFRLIKE"	-1.05	0.21	"FUV+WISE4"	-0.6	" "	17.80217	-58.839
530	4491	"         "	" "	"       "	65.9	0.1	9.94	0.19	0.33	"SSFRLIKE"	-0.12	0.2	"FUV+WISE4"	0.02	" "	18.70939	-58.67493
510	4325	"         "	" "	"       "	67.6	0.09	11.17	0.1	0.47	"SSFRLIKE"	0.59	0.2	"FUV+WISE4"	-0.08	" "	18.05889	-58.24803
513	4344	"         "	" "	"       "	66.5	0.1	9.34	0.18	0.35	"SSFRLIKE"	-0.81	0.25	"FUV+WISE4"	-0.26	" "	18.12517	-58.20808
519	4435	"         "	" "	"       "	67.6	0.09	9.92	0.14	0.24	"SSFRLIKE"	0.22	0.2	"FUV+WISE4"	0.38	" "	18.50608	-57.93521
482	4023	"         "	" "	"       "	67.6	0.09	10.44	0.1	0.39	"SSFRLIKE"	0.15	0.2	"FUV+WISE4"	-0.03	"S"	17.0361	-58.45467
806	6581	"         "	" "	"       "	16.0	0.12	9.72	0.1	0.32	"W4W1    "	-0.58	0.2	"WISE4    "		" "	26.92847	-52.76189
13803	128506	"         "	" "	"       "	66.5	0.1	9.07	0.1	0.2	"SSFRLIKE"	-0.42	0.2	"NUV+WISE4"	0.31	"S"	19.2739	-55.95914
523	4461	"         "	" "	"       "	48.7	0.13	10.49	0.1	0.3	"SSFRLIKE"	0.56	0.2	"NUV+WISE4"	0.35	"G"	18.59167	-55.40056
524	4468	"         "	" "	"       "	49.3	0.13	10.47	0.1	0.3	"SSFRLIKE"	0.51	0.2	"NUV+WISE4"	0.31	"G"	18.6039	-55.39703
447	3710	"         "	" "	"       "	16.1	0.4	8.76	0.21	0.5	"W4W1    "	-2.2	0.21	"WISE4    "		"S"	15.58375	-54.32639
676	5535	"         "	" "	"       "	48.7	0.13	9.93	0.1	0.24	"SSFRLIKE"	0.25	0.2	"FUV+WISE4"	0.4	" "	22.24039	-51.5987
687	5631	"         "	" "	"       "	39.1	0.12	9.6	0.1	0.31	"SSFRLIKE"	-0.4	0.2	"FUV+WISE4"	-0.02	" "	22.68272	-51.1419
13815	129313	"         "	" "	"       "	49.9	0.13	9.88	0.13	0.35	"SSFRLIKE"	-0.25	0.2	"FUV+WISE4"	-0.06	" "	24.7737	-48.95696
130	1440	"         "	" "	"       "	13.7	0.12	8.56	0.1	0.27	"SSFRLIKE"	-1.27	0.2	"FUV+WISE4"	-0.21	" "	5.6065	-53.6475
13814	129301	"         "	" "	"       "	47.5	0.13	8.87	0.1	0.2	"SSFRLIKE"	-0.65	0.2	"FUV+WISE4"	0.2	" "	13.04378	-51.66932
364	2978	"         "	" "	"       "	64.7	0.1	9.35	0.18	0.35	"SSFRLIKE"	-0.78	0.2	"FUV+WISE4"	-0.25	" "	12.7518	-51.32744
183	1816	"         "	" "	"       "	47.2	0.12	10.77	0.1	0.5	"SSFRLIKE"	-0.95	0.2	"FUV+WISE4"		" "	7.42346	-51.52065
13812	129199	"         "	" "	"       "	42.8	0.15	8.74	0.1	0.29	"SSFRLIKE"	-1.14	0.2	"FUV+WISE4"	-0.2	"S"	11.78275	-48.89672
551	4634	"         "	" "	"       "	67.6	0.09	10.1	0.1	0.47	"SSFRLIKE"	-0.48	0.2	"FUV+WISE4"	-0.43	"S"	19.31487	-50.9313
402	3292	"         "	" "	"       "	64.7	0.1	10.06	0.1	0.2	"SSFRLIKE"	0.72	0.2	"FUV+WISE4"	0.79	" "	13.93696	-50.46404
564	4819	"         "	" "	"       "	67.6	0.09	9.6	0.11	0.5	"SSFRLIKE"	-1.18	0.21	"FUV+WISE4"	-0.81	" "	20.07817	-47.53081
1563	10624	"         "	" "	"       "	65.3	0.1	10.11	0.15	0.5	"W4W1    "	-0.83	0.21	"WISE4    "		" "	42.11655	-40.55489
1231	8949	"         "	" "	"       "	65.9	0.1	10.35	0.11	0.5	"SSFRLIKE"	-0.65	0.2	"FUV+WISE4"	-0.77	" "	35.2989	-42.00161
13830	131126	"         "	" "	"       "	66.5	0.09	8.96	0.1	0.24	"SSFRLIKE"	-0.74	0.2	"FUV+WISE4"	0.05	"S"	39.27262	-39.49986
1520	10321	"         "	" "	"       "	65.9	0.1	10.21	0.1	0.29	"SSFRLIKE"	0.32	0.2	"FUV+WISE4"	0.29	" "	40.89076	-38.62737
