SubhaloID,dataset,selected_by
369366,dev_clean_3000,quality_cut_bins8_dm10_OR_base
369545,dev_clean_3000,quality_cut_bins8_dm10_OR_base
369789,dev_clean_3000,quality_cut_bins8_dm10_OR_base
370003,dev_clean_3000,quality_cut_bins8_dm10_OR_base
370190,dev_clean_3000,quality_cut_bins8_dm10_OR_base
370781,dev_clean_3000,quality_cut_bins8_dm10_OR_base
371259,dev_clean_3000,quality_cut_bins8_dm10_OR_base
371471,dev_clean_3000,quality_cut_bins8_dm10_OR_base
372175,dev_clean_3000,quality_cut_bins8_dm10_OR_base
372343,dev_clean_3000,quality_cut_bins8_dm10_OR_base
372568,dev_clean_3000,quality_cut_bins8_dm10_OR_base
373050,dev_clean_3000,quality_cut_bins8_dm10_OR_base
373291,dev_clean_3000,quality_cut_bins8_dm10_OR_base
373510,dev_clean_3000,quality_cut_bins8_dm10_OR_base
373699,dev_clean_3000,quality_cut_bins8_dm10_OR_base
373951,dev_clean_3000,quality_cut_bins8_dm10_OR_base
374228,dev_clean_3000,quality_cut_bins8_dm10_OR_base
374379,dev_clean_3000,quality_cut_bins8_dm10_OR_base
374593,dev_clean_3000,quality_cut_bins8_dm10_OR_base
374789,dev_clean_3000,quality_cut_bins8_dm10_OR_base
375020,dev_clean_3000,quality_cut_bins8_dm10_OR_base
375401,dev_clean_3000,quality_cut_bins8_dm10_OR_base
375639,dev_clean_3000,quality_cut_bins8_dm10_OR_base
375909,dev_clean_3000,quality_cut_bins8_dm10_OR_base
376356,dev_clean_3000,quality_cut_bins8_dm10_OR_base
376544,dev_clean_3000,quality_cut_bins8_dm10_OR_base
376738,dev_clean_3000,quality_cut_bins8_dm10_OR_base
376963,dev_clean_3000,quality_cut_bins8_dm10_OR_base
377212,dev_clean_3000,quality_cut_bins8_dm10_OR_base
377398,dev_clean_3000,quality_cut_bins8_dm10_OR_base
377539,dev_clean_3000,quality_cut_bins8_dm10_OR_base
377804,dev_clean_3000,quality_cut_bins8_dm10_OR_base
378115,dev_clean_3000,quality_cut_bins8_dm10_OR_base
378526,dev_clean_3000,quality_cut_bins8_dm10_OR_base
378745,dev_clean_3000,quality_cut_bins8_dm10_OR_base
379147,dev_clean_3000,quality_cut_bins8_dm10_OR_base
379320,dev_clean_3000,quality_cut_bins8_dm10_OR_base
379732,dev_clean_3000,quality_cut_bins8_dm10_OR_base
379949,dev_clean_3000,quality_cut_bins8_dm10_OR_base
380119,dev_clean_3000,quality_cut_bins8_dm10_OR_base
380276,dev_clean_3000,quality_cut_bins8_dm10_OR_base
380751,dev_clean_3000,quality_cut_bins8_dm10_OR_base
380934,dev_clean_3000,quality_cut_bins8_dm10_OR_base
381147,dev_clean_3000,quality_cut_bins8_dm10_OR_base
381392,dev_clean_3000,quality_cut_bins8_dm10_OR_base
381831,dev_clean_3000,quality_cut_bins8_dm10_OR_base
382059,dev_clean_3000,quality_cut_bins8_dm10_OR_base
382256,dev_clean_3000,quality_cut_bins8_dm10_OR_base
382483,dev_clean_3000,quality_cut_bins8_dm10_OR_base
382684,dev_clean_3000,quality_cut_bins8_dm10_OR_base
382921,dev_clean_3000,quality_cut_bins8_dm10_OR_base
383118,dev_clean_3000,quality_cut_bins8_dm10_OR_base
383307,dev_clean_3000,quality_cut_bins8_dm10_OR_base
383506,dev_clean_3000,quality_cut_bins8_dm10_OR_base
383723,dev_clean_3000,quality_cut_bins8_dm10_OR_base
384103,dev_clean_3000,quality_cut_bins8_dm10_OR_base
384534,dev_clean_3000,quality_cut_bins8_dm10_OR_base
384705,dev_clean_3000,quality_cut_bins8_dm10_OR_base
384914,dev_clean_3000,quality_cut_bins8_dm10_OR_base
385115,dev_clean_3000,quality_cut_bins8_dm10_OR_base
385350,dev_clean_3000,quality_cut_bins8_dm10_OR_base
385582,dev_clean_3000,quality_cut_bins8_dm10_OR_base
385798,dev_clean_3000,quality_cut_bins8_dm10_OR_base
386247,dev_clean_3000,quality_cut_bins8_dm10_OR_base
386429,dev_clean_3000,quality_cut_bins8_dm10_OR_base
386612,dev_clean_3000,quality_cut_bins8_dm10_OR_base
386827,dev_clean_3000,quality_cut_bins8_dm10_OR_base
387067,dev_clean_3000,quality_cut_bins8_dm10_OR_base
387236,dev_clean_3000,quality_cut_bins8_dm10_OR_base
387438,dev_clean_3000,quality_cut_bins8_dm10_OR_base
387936,dev_clean_3000,quality_cut_bins8_dm10_OR_base
388115,dev_clean_3000,quality_cut_bins8_dm10_OR_base
388428,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389056,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389156,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389345,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389511,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389704,dev_clean_3000,quality_cut_bins8_dm10_OR_base
389917,dev_clean_3000,quality_cut_bins8_dm10_OR_base
390127,dev_clean_3000,quality_cut_bins8_dm10_OR_base
390305,dev_clean_3000,quality_cut_bins8_dm10_OR_base
390724,dev_clean_3000,quality_cut_bins8_dm10_OR_base
390859,dev_clean_3000,quality_cut_bins8_dm10_OR_base
391081,dev_clean_3000,quality_cut_bins8_dm10_OR_base
391260,dev_clean_3000,quality_cut_bins8_dm10_OR_base
391447,dev_clean_3000,quality_cut_bins8_dm10_OR_base
391681,dev_clean_3000,quality_cut_bins8_dm10_OR_base
391869,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392097,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392253,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392368,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392585,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392725,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392852,dev_clean_3000,quality_cut_bins8_dm10_OR_base
392961,dev_clean_3000,quality_cut_bins8_dm10_OR_base
393336,dev_clean_3000,quality_cut_bins8_dm10_OR_base
393546,dev_clean_3000,quality_cut_bins8_dm10_OR_base
393731,dev_clean_3000,quality_cut_bins8_dm10_OR_base
393888,dev_clean_3000,quality_cut_bins8_dm10_OR_base
394241,dev_clean_3000,quality_cut_bins8_dm10_OR_base
394439,dev_clean_3000,quality_cut_bins8_dm10_OR_base
394719,dev_clean_3000,quality_cut_bins8_dm10_OR_base
394850,dev_clean_3000,quality_cut_bins8_dm10_OR_base
394986,dev_clean_3000,quality_cut_bins8_dm10_OR_base
395338,dev_clean_3000,quality_cut_bins8_dm10_OR_base
395533,dev_clean_3000,quality_cut_bins8_dm10_OR_base
395735,dev_clean_3000,quality_cut_bins8_dm10_OR_base
395882,dev_clean_3000,quality_cut_bins8_dm10_OR_base
396073,dev_clean_3000,quality_cut_bins8_dm10_OR_base
396266,dev_clean_3000,quality_cut_bins8_dm10_OR_base
396640,dev_clean_3000,quality_cut_bins8_dm10_OR_base
396851,dev_clean_3000,quality_cut_bins8_dm10_OR_base
397063,dev_clean_3000,quality_cut_bins8_dm10_OR_base
397568,dev_clean_3000,quality_cut_bins8_dm10_OR_base
398110,dev_clean_3000,quality_cut_bins8_dm10_OR_base
398549,dev_clean_3000,quality_cut_bins8_dm10_OR_base
398913,dev_clean_3000,quality_cut_bins8_dm10_OR_base
399101,dev_clean_3000,quality_cut_bins8_dm10_OR_base
399267,dev_clean_3000,quality_cut_bins8_dm10_OR_base
399391,dev_clean_3000,quality_cut_bins8_dm10_OR_base
