recno	HRS	r	s_r	rang	s_rang	v	s_v	Nbins	side
1594	153	0.96	0.05	11.7	0.6	83	3	20	r
1595	153	1.04	0.04	12.6	0.4	94	4	20	a
1596	153	1.14	0.03	13.9	0.4	91	5	20	a
1597	153	1.17	0.06	14.2	0.8	77	4	20	r
1598	153	1.26	0.03	15.3	0.4	100	4	20	a
1599	153	1.38	0.04	16.8	0.5	98	4	20	a
1600	153	1.39	0.06	16.8	0.8	97	5	20	r
1601	153	1.53	0.05	18.5	0.6	93	5	20	a
1602	153	1.59	0.06	19.3	0.7	91	5	20	r
1603	153	1.74	0.08	21.1	1.0	102	4	20	a
1604	153	1.77	0.05	21.5	0.6	97	5	20	r
1605	153	1.92	0.03	23.2	0.4	104	5	20	r
1606	153	1.98	0.08	24.1	1.0	110	4	20	a
1607	153	2.05	0.03	24.9	0.4	100	5	20	r
1608	153	2.19	0.04	26.6	0.5	109	5	20	r
1609	153	2.27	0.09	27.6	1.1	111	7	20	a
1610	153	2.31	0.04	28.1	0.4	114	5	20	r
1611	153	2.45	0.05	29.7	0.6	116	4	20	r
1612	153	2.6	0.09	31.5	1.1	108	3	20	a
1613	153	2.64	0.06	32.0	0.8	115	4	20	r
1614	153	2.84	0.06	34.5	0.7	117	5	20	r
1615	153	2.96	0.11	35.9	1.3	117	4	20	a
1616	153	3.04	0.05	36.9	0.6	117	4	20	r
1617	153	3.2	0.07	38.9	0.8	121	4	20	r
1618	153	3.6	0.25	43.7	3.1	127	7	18	r
1619	153	3.65	0.41	44.3	4.9	124	5	15	a
1620	154	0.12	0.0	1.4	0.0	13	23	1	r
1621	154	0.23	0.0	2.8	0.0	65	23	1	a
1622	154	0.34	0.0	4.1	0.0	44	23	1	a
1623	154	0.34	0.0	4.1	0.0	34	23	2	r
1624	154	0.41	0.01	4.9	0.1	52	16	2	a
1625	154	0.43	0.0	5.2	0.0	26	23	1	r
1626	154	0.49	0.02	5.9	0.3	57	7	3	a
1627	154	0.52	0.0	6.4	0.0	33	23	1	r
1628	154	0.57	0.0	6.9	0.0	8	2	2	r
1629	154	0.6	0.01	7.2	0.1	77	7	3	a
1630	154	0.68	0.01	8.2	0.2	75	6	5	a
1631	154	0.69	0.0	8.4	0.0	62	23	1	r
1632	154	0.73	0.03	8.9	0.3	32	7	4	r
1633	154	0.78	0.0	9.4	0.0	60	23	1	a
1634	154	0.82	0.01	10.0	0.2	48	13	4	a
1635	154	0.83	0.03	10.1	0.4	47	14	3	r
1636	154	0.9	0.02	11.0	0.3	71	7	4	a
1637	154	0.95	0.0	11.5	0.0	9	23	1	r
1638	154	0.99	0.02	12.0	0.3	40	22	3	a
1639	154	1.0	0.02	12.1	0.2	49	20	4	r
1640	154	1.08	0.02	13.1	0.2	68	7	6	a
1641	154	1.12	0.01	13.6	0.1	63	16	4	r
1642	154	1.18	0.01	14.3	0.2	79	6	3	a
1643	154	1.19	0.0	14.4	0.0	85	8	2	r
1644	154	1.46	0.12	17.7	1.5	64	6	24	a
1645	154	1.57	0.16	19.0	1.9	79	6	24	r
1646	154	1.87	0.1	22.7	1.2	80	6	24	a
1647	154	1.96	0.09	23.7	1.1	74	5	24	r
1648	154	2.16	0.07	26.2	0.9	78	4	24	a
1649	154	2.28	0.11	27.7	1.4	91	4	24	r
1650	154	2.4	0.08	29.1	0.9	81	6	24	a
1651	154	2.65	0.09	32.1	1.0	89	6	24	a
1652	154	2.8	0.15	34.0	1.8	93	6	24	r
1653	154	3.02	0.15	36.6	1.8	79	5	24	a
1654	154	3.21	0.09	39.0	1.0	101	5	24	r
1655	154	3.5	0.07	42.4	0.9	108	5	24	r
1656	154	3.77	0.08	45.7	1.0	90	6	24	r
1657	154	4.03	0.07	48.8	0.8	89	7	24	r
1658	154	4.28	0.09	51.9	1.1	89	6	24	r
1659	154	4.36	0.61	52.9	7.4	94	6	24	a
1660	154	4.58	0.06	55.6	0.8	106	7	24	r
1661	154	4.82	0.08	58.5	0.9	91	7	24	r
1662	154	5.08	0.07	61.7	0.9	99	6	24	r
1663	154	5.46	0.19	66.3	2.3	107	4	24	a
1664	154	5.71	0.4	69.3	4.8	114	10	19	r
1665	154	6.12	0.25	74.3	3.0	103	4	22	a
1666	156	0.51	0.0	6.2	0.0	123	25	1	r
1667	156	0.56	0.0	6.8	0.0	96	25	1	a
1668	156	0.69	0.0	8.4	0.0	127	25	1	r
1669	156	0.73	0.0	8.9	0.0	62	25	1	a
1670	156	0.8	0.0	9.7	0.0	113	25	1	a
1671	156	0.84	0.0	10.2	0.0	155	25	1	r
1672	156	1.05	0.0	12.7	0.0	160	25	1	r
1673	156	1.05	0.0	12.8	0.0	146	7	2	a
1674	156	1.19	0.0	14.4	0.0	154	25	1	a
1675	156	1.25	0.0	15.1	0.0	122	25	1	a
1676	156	1.32	0.02	16.0	0.2	159	9	3	a
1677	156	1.42	0.02	17.2	0.2	148	8	5	a
1678	156	1.45	0.0	17.6	0.0	170	25	1	r
1679	156	1.5	0.02	18.2	0.3	150	7	5	a
1680	156	1.59	0.0	19.2	0.0	170	25	1	r
1681	156	1.59	0.03	19.3	0.3	150	25	2	a
1682	156	1.67	0.03	20.3	0.3	156	5	5	a
1683	156	1.84	0.1	22.4	1.2	161	3	20	a
1684	156	2.37	0.33	28.7	4.0	172	4	20	r
1685	156	2.37	0.22	28.8	2.7	179	5	20	a
1686	156	3.26	0.29	39.5	3.5	190	3	19	r
1687	156	3.26	0.33	39.6	4.1	182	3	16	a
1688	157	0.05	0.0	0.6	0.0	12	10	1	r
1689	157	0.12	0.0	1.4	0.0	15	10	1	r
