dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.5,10,1.0,10060,63,45,0.0075299601713347,10060,63,0.0703437170305252,0.1320552873236768,0.0503359077406424,0.0432317690296198,0.0071041387110225,1.1643268103638147,45,45,0.0827433569559256,0.2128395061728394,0.0501631863004158,0.0340634172096497,0.016099769090766,1.4726410445457367,0.2303491447643235,0.1
-10.5,10,2.0,10028,55,42,0.0064773928938032,10028,55,0.0345740447800097,0.1649816876382492,0.0508013936506978,0.0384778678881442,0.0123235257625535,1.3202756919478555,42,42,0.0409362612747378,0.2596371882086168,0.05070171744849,0.0334987928009656,0.0172029246475243,1.513538644503884,0.360348330760719,0.1
-10.5,15,0.0,4256,38,19,0.0067488743052594,4256,38,0.0534016699155073,0.1817496042738424,0.0700211710051574,0.0494393659694202,0.0205818050357372,1.416303984328354,19,19,0.0381883781513956,0.3961218836565097,0.0883447160022236,0.0468725987892569,0.0414721172129666,1.8847838243283408,0.5617280785013419,0.1
-10.5,15,0.5,4256,36,18,0.0071175507654442,4256,36,0.0096042868619759,0.2502871762740184,0.0700211710051574,0.0484436411212046,0.0215775298839528,1.445415112996285,18,18,0.0278862647424674,0.4320987654320987,0.0868502557269807,0.0455666115049044,0.0412836442220763,1.9060064564518435,0.6717449121824628,0.1
-10.5,15,1.0,4251,34,18,0.0071175507654442,4251,34,0.0006698038138448,0.3382041595749097,0.0700008850045452,0.0457538940979053,0.0242469909066398,1.5299437651089451,18,18,0.0327115835298204,0.4197530864197532,0.0868502557269807,0.0422049517005741,0.0446453040264065,2.0578214694603996,0.6234586009495605,0.1
-10.5,15,2.0,1703,28,16,0.003087546411842,1703,28,1.7996094272132146e-07,0.5742806811509102,0.0787378138012112,0.038140072776499,0.0405977410247122,2.0644379538186803,16,16,0.0018750851285173,0.6484375,0.0961118563581172,0.0369731740559203,0.0591386823021968,2.5995024450092425,1.7682754521857378,0.1
-10.5,20,0.0,0,22,0,,0,22,,,,0.0478940695456061,,,0,0,,,,,,,,0.1
-10.5,20,0.5,0,21,0,,0,21,,,,0.0479755767089405,,,0,0,,,,,,,,0.1
-10.5,20,1.0,0,21,0,,0,21,,,,0.0452739423792032,,,0,0,,,,,,,,0.1
-10.5,20,2.0,0,17,0,,0,17,,,,0.0394613458431417,,,0,0,,,,,,,,0.1
-10.6,10,0.0,8313,63,39,0.0072856489950638,8313,63,0.391023104306014,0.0626347335116732,0.0553699664844006,0.0468725987892569,0.0084973676951437,1.1812864640458414,39,39,0.0308835096301644,0.284681130834977,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.4299463256920389,0.1
-10.6,10,0.5,8313,60,39,0.0072856489950638,8313,60,0.0618357577740897,0.1397048799069731,0.0553699664844006,0.042760173953261,0.0126097925311396,1.294895725749917,39,39,0.0232988940382643,0.2991452991452992,0.0564563366490495,0.0351448661684553,0.0213114704805942,1.606389291068708,0.4884039682183467,0.1
-10.6,10,1.0,8313,58,38,0.0074743085410542,8313,58,0.0139502068863301,0.187043973502242,0.0553699664844006,0.041800064708422,0.0135699017759786,1.3246382959126013,38,38,0.0140129931799574,0.3282548476454294,0.057764423800778,0.0333292696741725,0.0244351541266054,1.7331440012182666,0.6084102135437442,0.1
-10.6,10,2.0,8310,50,35,0.0061957980871545,8310,50,0.0177946231086265,0.1940938628158843,0.0555908821286975,0.038969606865643,0.0166212752630545,1.4265189361637742,35,35,0.0115563437997429,0.3518367346938775,0.0590725109525065,0.0329341683922816,0.0261383425602248,1.793654245308062,0.6815709261319169,0.1
-10.6,15,0.0,2953,34,17,0.0083445882975734,2953,34,0.0226732760086865,0.22698751020896,0.079001728392258,0.0538356131029444,0.0251661152893136,1.4674622213587685,17,17,0.0034147911781178,0.5916955017301038,0.0938255009031911,0.0452739423792032,0.0485515585239878,2.072395200694741,1.4594973363893056,0.1
-10.6,15,0.5,2953,32,16,0.0088590814398009,2953,32,0.0033479199837092,0.3011132746359635,0.079001728392258,0.0484436411212046,0.0305580872710533,1.6307966652340993,16,16,0.0027330523288337,0.625,0.0904218471131627,0.0421884442122548,0.0482334029009078,2.143284702755097,1.60209503308584,0.1
-10.6,15,1.0,2952,30,16,0.0088590814398009,2952,30,0.0002135754663616,0.3923215898825656,0.0789577008300205,0.044052415481432,0.0349052853485884,1.7923580345622798,16,16,0.0030905994059918,0.6171875,0.0904218471131627,0.0405445788932281,0.0498772682199345,2.230183407534791,1.549114260728989,0.1
-10.6,15,2.0,1323,25,15,0.0042007171973239,1323,25,2.264835452843528e-07,0.6035676492819351,0.0847588505097293,0.0394613458431417,0.0452975046665875,2.1478955848754975,15,15,0.0001356422628156,0.8222222222222222,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,3.1800307562621293,0.1
-10.6,20,0.0,0,20,0,,0,20,,,,0.0460732705842301,,,0,0,,,,,,,,0.1
-10.6,20,0.5,0,19,0,,0,19,,,,0.0452739423792032,,,0,0,,,,,,,,0.1
-10.6,20,1.0,0,19,0,,0,19,,,,0.0428308885836608,,,0,0,,,,,,,,0.1
-10.6,20,2.0,0,15,0,,0,15,,,,0.0394613458431417,,,0,0,,,,,,,,0.1
