dm_threshold,rmin_kpc,min_pts_per_gal,tng_lowres0_only,style,tng_n_points,sparc_n_points,tng_n_gal,sparc_n_gal,n_tng,n_sparc,mw_p,u_stat,cliffs_delta,median_tng,median_sparc,median_diff,median_ratio,median_diff_ci95,score
-10.6,2.0,3,False,pooled_points,163392,1195,18095,113,163392,1195,3.1113619997095693e-97,131871309.0,0.35077065991769474,0.059278598144807404,-0.018367613930825755,0.07764621207563316,-3.2273434300207122,,33.851841424671996
-10.8,0.5,5,False,pooled_points,114257,1129,12781,91,114257,1129,1.4020644134352366e-94,87476916.0,0.35627170214913306,0.05060776361769648,-0.03418456506541112,0.0847923286831076,-1.4804273074956509,,33.43725072881476
-10.6,1.0,10,False,pooled_points,106885,979,8313,58,106885,979,7.069141369398408e-90,71816027.0,0.37262504167247434,0.0662811284177458,-0.016135180782930192,0.082416309200676,-4.107864009051963,,33.21975846090637
-10.7,0.0,10,False,pooled_points,82174,951,6540,53,82174,951,3.3058031816951104e-88,53722993.0,0.3749131033973023,0.06362462762175092,-0.03191396577717143,0.09553859339892234,-1.9936296249105663,,32.79766934987325
-10.6,1.0,8,False,pooled_points,132187,1097,11288,72,132187,1097,2.079784778544045e-91,98237404.0,0.35491327894857716,0.06415292965461994,-0.016135180782930192,0.08028811043755013,-3.975965966398648,,32.184239432849324
-10.7,1.0,5,False,pooled_points,136346,1172,14310,95,136346,1172,2.669695486079441e-92,107473932.0,0.3451264748101961,0.056362630017958715,-0.022336325341131946,0.07869895535909066,-2.5233617955128875,,31.604452449992948
-10.7,0.5,10,False,pooled_points,82174,898,6540,50,82174,898,2.278047128167243e-84,50806736.0,0.3770208828970283,0.06362462762175092,-0.030153082731414926,0.09377771035316584,-2.1100538272812726,,31.534945556806257
-10.4,2.0,8,False,pooled_points,167923,1131,14196,73,167923,1131,1.1613800783381605e-89,127801655.0,0.34584078163103604,0.06645960591311528,-0.005396235913609715,0.071855841826725,-12.315919277268648,,30.757358777523113
-10.3,1.0,15,False,pooled_points,112725,909,7515,40,112725,909,3.7620226599187645e-83,70263059.0,0.37142771540405306,0.07398781282427436,-0.013452031261946829,0.08743984408622119,-5.5001219803563375,,30.614772919894147
-10.9,0.0,8,False,pooled_points,61392,903,5846,59,61392,903,4.7229073444895966e-82,38011768.0,0.3713507028233285,0.05090600413341839,-0.04526126324089752,0.09616726737431591,-1.1247146121944813,,30.200389487491552
-10.9,0.0,2,False,pooled_points,108032,1118,16173,106,108032,1118,3.075835223115689e-87,81141385.0,0.34362535992780785,0.041310060634750734,-0.04270268471077632,0.08401274534552705,-0.9673879034665438,,29.72772982954142
-10.7,0.5,15,False,pooled_points,28470,680,1898,31,28470,680,6.8978998913945e-73,13595775.0,0.4045512303973222,0.08043688902599921,-0.020845705501912448,0.10128259452791166,-3.858679142263604,,29.19293587033273
-10.8,1.0,2,False,pooled_points,128213,1132,17314,112,128213,1132,1.4960025381287084e-86,97231734.0,0.33986035660237324,0.04903332466899357,-0.029539575978547283,0.07857290064754086,-1.6599197193826805,,29.168538103627945
-10.8,0.5,10,False,pooled_points,59239,817,4806,46,59239,817,3.3253344464717257e-77,33352397.0,0.378247686285766,0.06018053828583625,-0.03418456506541112,0.09436510335124737,-1.7604593819076717,,28.927688837382394
-10.9,0.0,3,False,pooled_points,104906,1104,14610,99,104906,1104,2.530081378952186e-85,77708316.0,0.3419245303663154,0.04153969197803686,-0.042489630383606425,0.08402932236164329,-0.9776430532110236,,28.92574350986959
-10.7,0.0,15,False,pooled_points,28470,723,1898,33,28470,723,7.340208116963027e-74,14360360.0,0.3953063111251027,0.08043688902599921,-0.02122734830270545,0.10166423732870467,-3.7893046215173016,,28.91044703956205
