# SMACS J0723.3-7327 reconstructed radial profiles
# Source: Liu et al. 2023, A&A 670, A96 (eROSITA best-fit)
# Vikhlinin+2006 analytic models for T(r) and n_e(r)
# Cluster redshift z = 0.388
# Columns:
#   r_kpc         - radius [kpc]
#   n_e_cm3       - electron density [cm^-3]
#   T_keV         - temperature [keV]
#   rho_gas_kg_m3 - gas mass density [kg m^-3]
#   M_gas_Msun    - cumulative gas mass [M_sun]
#   M_HSE_Msun    - hydrostatic equilibrium mass [M_sun]
#   M_star_Msun   - stellar mass estimate (0.02 * M_HSE) [M_sun]
#   M_bar_Msun    - baryonic mass (M_gas + M_star) [M_sun]
#   g_bar_m_s2    - baryonic acceleration [m s^-2]
#   g_tot_m_s2    - total (observed) acceleration [m s^-2]
#   g_BEC_m_s2    - BEC/superfluid prediction [m s^-2]
#   log_g_bar     - log10(g_bar)
#   log_g_tot     - log10(g_tot)
#   log_g_BEC     - log10(g_BEC)
r_kpc,n_e_cm3,T_keV,rho_gas_kg_m3,M_gas_Msun,M_HSE_Msun,M_star_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC
6.70755369e+02,9.96207283e-04,1.23372635e+01,1.94954542e-24,7.72175075e+13,6.60370840e+14,1.32074168e+13,9.04249243e+13,2.80208811e-11,2.04635756e-10,7.31215585e-11,-1.05525182e+01,-9.68901848e+00,-1.01359546e+01
7.10535178e+02,8.83615515e-04,1.22609506e+01,1.72920697e-24,8.36812715e+13,7.20773594e+14,1.44154719e+13,9.80967434e+13,2.70897732e-11,1.99044255e-10,7.16290173e-11,-1.05671946e+01,-9.70105035e+00,-1.01449110e+01
7.52674168e+02,7.80480681e-04,1.21780306e+01,1.52737544e-24,9.04820739e+13,7.87743108e+14,1.57548622e+13,1.06236936e+14,2.61446880e-11,1.93861933e-10,7.00977933e-11,-1.05826165e+01,-9.71250746e+00,-1.01542957e+01
7.97312252e+02,6.86220675e-04,1.20881302e+01,1.34291166e-24,9.76061903e+13,8.62330490e+14,1.72466098e+13,1.14852800e+14,2.51887525e-11,1.89120590e-10,6.85313602e-11,-1.05987933e+01,-9.72326119e+00,-1.01641106e+01
8.44597642e+02,6.00293604e-04,1.19904968e+01,1.17475516e-24,1.05033042e+14,9.45705311e+14,1.89141062e+13,1.23947149e+14,2.42247196e-11,1.84832376e-10,6.69326317e-11,-1.06157412e+01,-9.73322195e+00,-1.01743621e+01
8.94687339e+02,5.22200209e-04,1.18839254e+01,1.02192891e-24,1.12734393e+14,1.03913825e+15,2.07827649e+13,1.33517158e+14,2.32550054e-11,1.80989214e-10,6.53040016e-11,-1.06334836e+01,-9.74234731e+00,-1.01850602e+01
9.47747655e+02,4.51483494e-04,1.17666682e+01,8.83538591e-25,1.20673806e+14,1.14397234e+15,2.28794469e+13,1.43553253e+14,2.22817629e-11,1.77562821e-10,6.36474430e-11,-1.06520505e+01,-9.75064796e+00,-1.01962190e+01
1.00395476e+03,3.87725420e-04,1.16363255e+01,7.58766102e-25,1.28806062e+14,1.26155358e+15,2.52310715e+13,1.54037133e+14,2.13068420e-11,1.74501577e-10,6.19644153e-11,-1.06714809e+01,-9.75820064e+00,-1.02078576e+01
1.06349529e+03,3.30540742e-04,1.14897225e+01,6.46857538e-25,1.37077535e+14,1.39315410e+15,2.78630820e+13,1.64940617e+14,2.03319212e-11,1.71731500e-10,6.02560622e-11,-1.06918216e+01,-9.76515004e+00,-1.02199993e+01
1.12656693e+03,2.79568367e-04,1.13227836e+01,5.47106250e-25,1.45426777e+14,1.53984414e+15,3.07968827e+13,1.76223660e+14,1.93585207e-11,1.69154951e-10,5.85232108e-11,-1.07131278e+01,-9.77171529e+00,-1.02326719e+01
1.19337909e+03,2.34460954e-04,1.11304238e+01,4.58832501e-25,1.53785770e+14,1.70231165e+15,3.40462330e+13,1.87832003e+14,1.83880081e-11,1.66649559e-10,5.67663562e-11,-1.07354653e+01,-9.77819583e+00,-1.02459090e+01
