sparc_name,pgc,method,T,D,eD,fD,Inc,eInc,L36,Reff,Rdisk,MHI,RHI,Vflat,eVflat,Q
UGC02487,12174,known,0,69.1,10.4,1,36.0,5.0,489.955,9.63,7.89,17.963,40.2,332.0,3.5,1
UGC02885,14376,known,5,80.6,8.06,1,64.0,4.0,403.525,12.2,11.4,40.075,74.24,289.5,12.0,1
UGC02916,14564,known,2,65.4,9.8,1,50.0,5.0,124.153,2.8,6.15,23.273,34.24,182.7,6.9,2
UGC02953,14826,known,2,16.5,4.95,1,50.0,4.0,259.518,5.03,3.55,7.678,24.0,264.9,6.0,2
UGC03205,16389,known,2,50.0,10.0,1,67.0,4.0,113.642,5.35,3.19,9.677,28.6,219.6,8.6,1
UGC03546,19056,known,1,28.7,7.2,1,55.0,5.0,101.336,2.58,3.79,2.675,18.37,196.9,7.4,1
UGC03580,19329,known,1,20.7,5.2,1,63.0,4.0,13.266,1.84,2.43,4.37,19.97,126.2,3.2,2
UGC04278,23235,known,7,9.51,2.85,1,90.0,3.0,1.307,2.46,2.21,1.116,8.9,91.4,4.8,1
UGC04305,23324,known,10,3.45,0.17,2,40.0,10.0,0.736,1.23,1.16,0.69,7.41,34.5,2.7,3
UGC04325,23431,known,9,9.6,2.88,1,41.0,3.0,2.026,2.79,1.86,0.678,6.61,90.9,2.7,1
UGC04483,24074,known,10,3.34,0.31,2,58.0,3.0,0.013,0.26,0.18,0.032,1.46,0.0,0.0,2
UGC04499,24128,known,8,12.5,3.75,1,50.0,3.0,1.552,2.69,1.73,1.1,8.67,72.8,2.4,1
UGC05005,26977,known,10,53.7,10.7,1,41.0,10.0,4.1,5.02,3.2,3.093,21.61,98.9,7.2,1
UGC05253,28419,known,2,22.9,5.72,1,37.0,4.0,171.582,4.28,8.07,16.396,36.64,213.7,7.1,2
UGC05414,29373,known,10,9.4,2.82,1,55.0,3.0,1.123,2.33,1.47,0.574,6.65,0.0,0.0,1
UGC05716,31121,known,9,21.3,5.3,1,54.0,10.0,0.588,1.84,1.14,1.094,10.64,73.1,1.2,2
UGC05721,31163,known,7,6.18,1.85,1,61.0,5.0,0.531,0.6,0.38,0.562,6.74,79.7,6.6,1
UGC05750,31327,known,8,58.7,11.7,1,64.0,10.0,3.336,8.8,3.46,1.099,16.79,0.0,0.0,1
UGC05764,31424,known,10,7.47,2.24,1,60.0,10.0,0.085,1.2,1.17,0.163,3.51,0.0,0.0,2
UGC05829,31842,known,10,8.64,2.59,1,34.0,10.0,0.564,2.91,1.99,1.023,7.87,0.0,0.0,2
UGC05918,32399,known,10,7.66,2.3,1,46.0,5.0,0.233,2.63,1.66,0.297,5.9,0.0,0.0,2
UGC05986,32791,known,9,8.63,2.59,1,90.0,3.0,4.695,3.12,1.67,2.667,16.53,113.0,4.1,2
UGC05999,32885,known,10,47.7,9.5,1,22.0,10.0,3.384,4.83,3.22,2.022,15.26,0.0,0.0,2
UGC06399,34612,known,9,18.0,2.5,4,75.0,2.0,2.296,3.45,2.05,0.674,8.8,85.0,3.8,1
UGC06446,34897,known,7,12.0,3.6,1,51.0,3.0,0.988,2.06,1.49,1.379,10.33,82.2,4.3,1
UGC06614,35800,known,1,88.7,8.87,1,36.0,10.0,124.35,3.68,5.1,21.888,60.63,199.8,16.0,1
UGC06628,35884,known,9,15.1,4.53,1,20.0,10.0,3.739,4.14,2.82,1.5,10.47,41.8,6.4,2
UGC06667,36060,known,6,18.0,2.5,4,89.0,1.0,1.397,3.5,5.15,0.809,8.59,83.8,3.1,1
UGC06786,36655,known,0,29.3,7.32,1,64.0,3.0,73.407,3.42,3.6,5.03,20.31,219.4,7.8,1
UGC06787,36656,known,2,21.3,5.32,1,66.0,3.0,98.256,2.88,5.37,5.03,26.44,248.1,4.8,2
UGC06818,36787,known,9,18.0,2.5,4,75.0,3.0,1.588,2.12,1.39,1.079,6.96,71.2,4.0,2
UGC06917,37326,known,9,18.0,2.5,4,56.0,2.0,6.832,4.52,2.76,2.023,12.67,108.7,3.5,1
UGC06923,37351,known,10,18.0,2.5,4,65.0,2.0,2.89,1.66,1.44,0.809,6.75,79.6,2.5,2
UGC06930,37375,known,7,18.0,2.5,4,32.0,5.0,8.932,4.38,3.94,3.237,16.76,107.2,5.1,1
UGC06973,37573,known,2,18.0,2.5,4,71.0,3.0,53.87,1.61,1.07,1.753,11.57,174.2,6.2,3
