recno	Galaxy	D	Re	logM*	logSFR	dSFR	Type	Bar	QS	f_QS	NA	f_NA	_RA	_DE
211	"UGC09892"	79.5	13.0	10.137	0.165	-0.11	"Sbc"	"A "	"SF "	1	"nonA"	S	233.21649	41.19154
212	"UGC10097"	83.8	7.8	11.242	-0.973	-2.099	"E5 "	"A "	"nR "	1	"nonA"	S	238.93045	47.86734
213	"UGC10123"	53.8	10.6	10.306	0.328	-0.077	"Sab"	"A "	"SF "	1	"nonA"	S	239.7615	51.30451
214	"UGC10205"	91.6	14.6	10.952	0.353	-0.55	"S0a"	"A "	"nR "	1	"nonA"	S	241.66743	30.09907
215	"UGC10257"	54.5	20.1	10.511	0.858	0.294	"Sbc"	"A "	"SF "	1	"nonA"	S	242.78143	38.25135
216	"UGC10331"	63.7	17.3	9.84	0.184	0.138	"Sc "	"AB"	"SF "	1	"nonA"	S	244.33798	59.32016
217	"UGC10337"	121.1	11.3	10.967	0.54	-0.375	"Sb "	"A "	"cQ "	1	"nonA"	S	244.86926	7.27878
218	"UGC10384"	69.3	8.6	10.234	0.639	0.29	"Sb "	"A "	"SF "	1	"nonA"	S	246.69455	11.58017
219	"UGC10388"	64.9	6.7	10.473	-0.718	-1.252	"Sa "	"AB"	"MX "	2	"nonA"	S	246.76236	16.38221
220	"UGC10650"	42.5	11.3	9.17	-0.218	0.252	"Scd"	"A "	"SF "	1	"nonA"	S	255.06075	23.10634
221	"UGC10693"	116.9	10.2	11.272	-0.655	-1.804	"E7 "	"AB"	"fR "	1	"nonA"	S	256.2207	41.86549
222	"UGC10695"	116.5	11.7	11.19	-0.733	-1.819	"E5 "	"A "	"nR "	1	"nonA"	S	256.27335	43.04324
223	"UGC10710"	117.3	13.9	10.885	1.275	0.424	"Sb "	"A "	"SF "	1	"nonA"	S	256.71892	43.12223
224	"UGC10796"	44.8	11.4	9.199	-0.259	0.188	"Scd"	"AB"	"SF "	1	"nonA"	S	259.19884	61.92012
225	"UGC10811"	122.5	10.7	10.955	0.468	-0.437	"Sb "	"B "	"cQ "	1	"nonA"	S	259.6822	58.13512
226	"UGC10905"	109.7	17.6	11.277	-0.342	-1.495	"S0a"	"A "	"nR "	1	"nonA"	S	263.52681	25.34396
227	"UGC10972"	66.1	15.0	10.329	-0.219	-0.642	"Sbc"	"A "	"cQ "	1	"nonA"	S	266.59115	26.54371
228	"UGC11228"	81.9	6.2	10.962	-1.303	-2.214	"S0 "	"B "	"nR "	1	"nonA"	S	276.19277	41.49273
229	"UGC11717"	89.1	11.6	10.824	0.802	-0.001	"Sab"	"A "	"MX "	1	"sAGN"	U	319.6474	19.71865
230	"UGC12054"	30.6	10.0	8.993	-0.557	0.048	"Sc "	"A "	"SF "	1	"nonA"	S	337.38525	7.72602
231	"UGC12127"	116.2	16.5	11.339	-0.702	-1.903	"E1 "	"A "	"nR "	1	"nonA"	S	339.62257	35.32968
232	"UGC12185"	93.9	16.5	10.693	-0.128	-0.831	"Sb "	"B "	"cQ "	1	"nonA"	S	341.85443	31.37355
233	"UGC12274"	107.7	20.6	11.072	-0.34	-1.336	"Sa "	"A "	"nR "	1	"nonA"	S	344.58151	26.06197
234	"UGC12308"	32.9	20.3	8.916	-0.571	0.094	"Scd"	"A "	"SF "	1	"nonA"	S	345.32803	14.33948
235	"UGC12518"	40.2	11.8	10.374	-0.49	-0.948	"Sb "	"A "	"MX "	2	"nonA"	S	350.05325	7.93212
236	"UGC12519"	62.3	12.5	10.124	0.325	0.06	"Sc "	"AB"	"SF "	1	"nonA"	S	350.01145	15.95271
237	"UGC12723"	76.9	5.8	9.628	-0.144	-0.027	"Sc "	"A "	"SF "	1	"nonA"	S	354.85004	10.85008
238	"UGC12857"	35.5	13.8	9.578	-0.213	-0.058	"Sbc"	"A "	"SF "	1	"nonA"	S	359.19803	1.3551
