recno	Name	ID	z	PA	eps	Type	M*	rMAG	Reff	Rmax	SimbadName	_RA	_DE
256	"UGC 08778"	664	0.011	116	0.7	"Sb "	1.76	-20.3	15	27	"UGC 08778"	208.02772	38.06695
257	"UGC 08781"	665	0.025	160	0.4	"Sb "	11.38	-22.37	15	29	"UGC 08781"	208.0947	21.53924
258	"UGC 09067"	714	0.026	12	0.54	"Sbc"	3.82	-21.85	14	28	"UGC 09067"	212.68942	15.20942
259	"UGC 09476"	769	0.011	132	0.34	"Sbc"	1.61	-20.95	21	40	"UGC 09476"	220.38316	44.51261
260	"UGC 09537"	774	0.029	140	0.79	"Sb "	16.6	-22.64	20	40	"UGC 09537"	222.11159	34.99811
261	"UGC 09542"	775	0.018	34	0.7	"Sc "	2.07	-20.96	21	37	"UGC 09542"	222.25496	42.464
262	"UGC 09665"	783	0.009	138	0.73	"Sb "	0.99	-19.99	18	33	"UGC 09665"	225.38521	48.3199
263	"UGC 09873"	797	0.019	126	0.75	"Sb "	1.25	-20.38	21	33	"UGC 09873"	232.46092	42.629
264	"UGC 09892"	798	0.019	101	0.69	"Sbc"	1.98	-20.71	16	26	"UGC 09892"	233.21649	41.19154
265	"UGC 10097"	814	0.02	114	0.18	"E5 "	28.71	-22.73	14	27	"UGC 10097"	238.93045	47.86734
266	"UGC 10123"	818	0.013	53	0.77	"Sab"	3.32	-20.55	18	31	"UGC 10123"	239.7615	51.30451
267	"UGC 10205"	822	0.022	133	0.38	"S0a"	9.93	-22.32	19	35	"UGC 10205"	241.66759	30.09901
268	"UGC 10257"	825	0.013	162	0.78	"Sbc"	1.21	-20.47	20	38	"UGC 10257"	242.78143	38.25135
269	"UGC 10297"	827	0.008	179	0.83	"Sc "	0.29	-19.11	18	40	"UGC 10297"	243.87004	18.90484
270	"UGC 10331"	828	0.015	140	0.76	"Sc "	0.77	-20.43	19	41	"UGC 10331"	244.33798	59.32016
271	"UGC 10337"	830	0.029	63	0.72	"Sb "	10.79	-22.17	17	26	"UGC 10337"	244.86926	7.27878
272	"UGC 10380"	834	0.029	108	0.79	"Sb "	10.21	-21.85	12	35	"UGC 10380"	246.45813	16.5762
273	"UGC 10384"	837	0.017	92	0.73	"Sb "	1.87	-20.73	11	35	"UGC 10384"	246.69455	11.58017
274	"UGC 10388"	838	0.015	128	0.7	"Sa "	6.56	-21.19	11	28	"UGC 10388"	246.76236	16.38221
275	"UGC 10650"	843	0.01	22	0.78	"Scd"	0.2	-19.32	23	43	"UGC 10650"	255.06075	23.10634
276	"UGC 10693"	845	0.028	103	0.37	"E7 "	32.14	-23.39	22	31	"UGC 10693"	256.2207	41.86549
277	"UGC 10695"	846	0.028	110	0.35	"E5 "	19.95	-22.7	24	27	"UGC 10695"	256.27335	43.04324
278	"UGC 10710"	847	0.028	147	0.65	"Sb "	9.68	-22.12	20	36	"UGC 10710"	256.71881	43.12208
279	"UGC 10796"	852	0.01	59	0.42	"Scd"	0.28	-19.56	20	32	"UGC 10796"	259.19852	61.92011
280	"UGC 10811"	854	0.029	91	0.66	"Sb "	7.48	-21.92	12	29	"UGC 10811"	259.68197	58.13516
281	"UGC 10905"	858	0.027	173	0.56	"S0a"	40.46	-22.92	15	25	"UGC 10905"	263.52689	25.34384
282	"UGC 10972"	861	0.016	54	0.78	"Sbc"	2.66	-21.22	24	34	"UGC 10972"	266.59115	26.54371
283	"UGC 11228"	865	0.019	178	0.33	"S0 "	12.39	-22.1	12	33	"UGC 11228"	276.19287	41.49264
284	"UGC 11649"	872	0.013	63	0.22	"Sab"	3.7	-21.38	19	32	"UGC 11649"	313.86505	-1.22511
285	"UGC 11680NED01"	873	0.026	57	0.46	"Sb "	12.39	-22.56	16	28	"ZW II 101"	316.92236	3.87174
286	"UGC 11717"	877	0.021	37	0.61	"Sab"	6.95	-21.84	17	39	"UGC 11717"	319.6474	19.71865
287	"UGC 12054"	885	0.007	47	0.74	"Sc "	0.1	-18.41	15	33	"UGC 12054"	337.38525	7.72602
288	"UGC 12127"	888	0.027	0	0.11	"E1 "	23.39	-23.47	36	25	"UGC 12127"	339.62277	35.32778
289	"UGC 12185"	890	0.022	159	0.56	"Sb "	4.68	-21.56	12	33	"UGC 12185"	341.85443	31.37355
290	"UGC 12274"	894	0.026	143	0.68	"Sa "	14.19	-22.08	17	27	"UGC 12274"	344.58151	26.06197
291	"UGC 12308"	895	0.008	118	0.79	"Scd"	0.11	-18.88	27	38	"UGC 12308"	345.32803	14.33948
