Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Rotation curves (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2A.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.6   kpc     R0.3   The R_0.3_ value
  25- 33 F9.6   km/s    V0.3   The V_0.3 value
  35- 42 F8.6   ---     R      Radius scaled by R0.3
  44- 52 F9.6   ---     V      Velocity scaled by V0.3
  54- 61 F8.6   ---   e_V      Uncertainty in V
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Data  2.000000 20.510000 0.915000  0.920039 0.104827 
IC_1613  Data  2.000000 20.510000 0.925000  0.941492 0.101902 
IC_1613  Data  2.000000 20.510000 0.940000  0.944905 0.103852 
IC_1613  Data  2.000000 20.510000 0.950000  0.934178 0.103364 
IC_1613  Data  2.000000 20.510000 0.960000  0.950268 0.100439 
IC_1613  Data  2.000000 20.510000 0.975000  0.942955 0.104827 
IC_1613  Data  2.000000 20.510000 0.985000  0.980010 0.105802 
IC_1613  Data  2.000000 20.510000 1.000000  1.000000 0.108727 
IC_1613  Data  2.000000 20.510000 1.010000  0.996099 0.099951 
IC_1613  Data  2.000000 20.510000 1.020000  0.983910 0.106777 
IC_1613  Data  2.000000 20.510000 1.035000  1.003413 0.112140 
IC_1613  Data  2.000000 20.510000 1.045000  1.014627 0.112140 
IC_1613  Data  2.000000 20.510000 1.055000  1.005851 0.116529 
IC_1613  Data  2.000000 20.510000 1.070000  1.005851 0.113116 
IC_1613  Data  2.000000 20.510000 1.080000  1.024378 0.111165 
IC_1613  Data  2.000000 20.510000 1.095000  1.023891 0.116041 
IC_1613  Data  2.000000 20.510000 1.105000  1.011214 0.110678 
IC_1613  Data  2.000000 20.510000 1.115000  1.002925 0.112628 
IC_1613  Data  2.000000 20.510000 1.130000  1.030229 0.121404 
IC_1613  Data  2.000000 20.510000 1.140000  1.009751 0.117016 
IC_1613  Data  2.000000 20.510000 1.150000  1.013164 0.116041 
IC_1613  Data  2.000000 20.510000 1.165000  1.004388 0.109703 
IC_1613  Data  2.000000 20.510000 1.175000  0.961970 0.115066 
IC_1613  Data  2.000000 20.510000 1.190000  0.964408 0.124817 
IC_1613  Data  2.000000 20.510000 1.200000  0.961970 0.118479 
IC_1613  Data  2.000000 20.510000 1.210000  0.943442 0.122379 
IC_1613  Data  2.000000 20.510000 1.225000  0.946855 0.108240 
IC_1613  Data  2.000000 20.510000 1.235000  0.947343 0.113603 
IC_1613  Data  2.000000 20.510000 1.245000  0.950268 0.106777 
IC_1613  Data  2.000000 20.510000 1.260000  0.926377 0.111653 
IC_1613  Data  2.000000 20.510000 1.270000  0.894198 0.112140 
IC_1613  Data  2.000000 20.510000 1.285000  0.878596 0.118966 
IC_1613  Data  2.000000 20.510000 1.295000  0.903462 0.108240 
IC_1613  Data  2.000000 20.510000 1.305000  0.874208 0.109703 
IC_1613  Data  2.000000 20.510000 1.320000  0.890785 0.110190 
IC_1613  Data  2.000000 20.510000 1.330000  0.795222 0.109215 
IC_1613  Data  2.000000 20.510000 1.340000  0.817162 0.101414 
IC_1613  Data  2.000000 20.510000 1.355000  0.826426 0.098976 
IC_1613  Model 2.710000 21.125700 0.051661  0.074817 0.039762 
IC_1613  Model 2.710000 21.125700 0.062731  0.090777 0.125913 
IC_1613  Model 2.710000 21.125700 0.070111  0.101395 0.079051 
IC_1613  Model 2.710000 21.125700 0.077491  0.111992 0.065323 
IC_1613  Model 2.710000 21.125700 0.088561  0.127843 0.090885 
IC_1613  Model 2.710000 21.125700 0.095941  0.138380 0.088518 
IC_1613  Model 2.710000 21.125700 0.107011  0.154132 0.098932 
IC_1613  Model 2.710000 21.125700 0.114391  0.164596 0.085204 
IC_1613  Model 2.710000 21.125700 0.121771  0.175027 0.092305 
IC_1613  Model 2.710000 21.125700 0.132841  0.190608 0.111239 
IC_1613  Model 2.710000 21.125700 0.140221  0.200950 0.133013 
IC_1613  Model 2.710000 21.125700 0.147601  0.211253 0.128753 
IC_1613  Model 2.710000 21.125700 0.158672  0.226631 0.128280 
IC_1613  Model 2.710000 21.125700 0.166052  0.236829 0.118339 
