Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM only) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled DM (baryon subtracted) rotation velocity which is 
           corrected for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the DM rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Model -0.15348 -4.2617E+00 0.1516 
IC_1613  Model -0.12999 -4.2955E+00 0.1783 
IC_1613  Model -0.10772 -4.3289E+00 0.1703 
IC_1613  Model -0.07631 -4.3782E+00 0.1668 
IC_1613  Model -0.05657 -4.4104E+00 0.1526 
IC_1613  Model -0.02854 -4.4579E+00 0.1535 
IC_1613  Model -0.01081 -4.4890E+00 0.1407 
IC_1613  Model  0.00622 -4.5195E+00 0.1390 
IC_1613  Model  0.03058 -4.5645E+00 0.1398 
IC_1613  Model  0.04609 -4.5938E+00 0.1409 
IC_1613  Model  0.06107 -4.6226E+00 0.1439 
IC_1613  Model  0.08261 -4.6649E+00 0.1251 
IC_1613  Model  0.09640 -4.6925E+00 0.1139 
IC_1613  Model  0.11630 -4.7328E+00 0.1205 
IC_1613  Model  0.12907 -4.7590E+00 0.1312 
IC_1613  Model  0.14148 -4.7847E+00 0.1280 
IC_1613  Model  0.15945 -4.8221E+00 0.1362 
IC_1613  Model  0.17103 -4.8464E+00 0.1270 
IC_1613  Model  0.18231 -4.8702E+00 0.1263 
IC_1613  Model  0.19870 -4.9045E+00 0.1352 
IC_1613  Model  0.20930 -4.9268E+00 0.1377 
IC_1613  Model  0.22472 -4.9592E+00 0.1286 
IC_1613  Model  0.23470 -4.9800E+00 0.1291 
IC_1613  Model  0.24446 -5.0003E+00 0.1303 
IC_1613  Model  0.25870 -5.0296E+00 0.1367 
IC_1613  Model  0.26794 -5.0483E+00 0.1434 
IC_1613  Model  0.27699 -5.0666E+00 0.1342 
IC_1613  Model  0.29022 -5.0928E+00 0.1243 
IC_1613  Model  0.29882 -5.1099E+00 0.1059 
IC_1613  Model  0.31141 -5.1341E+00 0.1048 
IC_1613  Model  0.31960 -5.1497E+00 0.1067 
IC_1613  Model  0.32765 -5.1649E+00 0.1145 
IC_1613  Model  0.33944 -5.1867E+00 0.1170 
IC_1613  Model  0.34712 -5.2005E+00 0.1232 
IC_1613  Model  0.35468 -5.2141E+00 0.1275 
IC_1613  Model  0.36577 -5.2339E+00 0.1247 
IC_1613  Model  0.37301 -5.2462E+00 0.1320 
IC_1613  Model  0.38364 -5.2645E+00 0.1232 
IC_1613  Model  0.39059 -5.2759E+00 0.1260 
IC_1613  Model  0.39743 -5.2875E+00 0.1332 
IC_1613  Model  0.40749 -5.3040E+00 0.1338 
IC_1613  Model  0.41407 -5.3147E+00 0.1289 
IC_1613  Model  0.42055 -5.3256E+00 0.1304 
IC_1613  Model  0.43010 -5.3411E+00 0.1328 
IC_1613  Model  0.43635 -5.3512E+00 0.1237 
IC_1613  Model  0.44556 -5.3659E+00 0.1242 
IC_1613  Model  0.45159 -5.3758E+00 0.1219 
IC_1613  Model  0.45754 -5.3857E+00 0.1192 
IC_1613  Model  0.46631 -5.4005E+00 0.1156 
IC_1613  Model  0.47206 -5.4104E+00 0.1136 
IC_1613  Model  0.47774 -5.4199E+00 0.1163 
IC_1613  Model  0.48612 -5.4346E+00 0.1256 
IC_1613  Model  0.49162 -5.4440E+00 0.1229 
IC_1613  Model  0.49974 -5.4589E+00 0.1143 
IC_1613  Model  0.50506 -5.4691E+00 0.1137 
IC_1613  Model  0.51033 -5.4782E+00 0.1165 
IC_1613  Model  0.51811 -5.4934E+00 0.1153 
IC_1613  Model  0.52322 -5.5036E+00 0.1202 
IC_1613  Model  0.52827 -5.5144E+00 0.1253 
IC_1613  Model  0.53573 -5.5295E+00 0.1351 
IC_1613  Model  0.54064 -5.5400E+00 0.1300 
IC_1613  Model  0.54790 -5.5571E+00 0.1308 
IC_1613  Model  0.55267 -5.5660E+00 0.1307 
IC_1613  Model  0.55739 -5.5781E+00 0.1278 
IC_1613  Model  0.56438 -5.5954E+00 0.1313 
IC_1613  Model  0.56897 -5.6068E+00 0.1313 
IC_1613  Model  0.57352 -5.6176E+00 0.1281 
IC_1613  Model  0.58025 -5.6346E+00 0.1348 
IC_1613  Model  0.58469 -5.6483E+00 0.1376 
IC_1613  Model  0.59125 -5.6652E+00 0.1426 
IC_1613  Model  0.59557 -5.6778E+00 0.1323 
IC_1613  Model  0.59985 -5.6906E+00 0.1427 
IC_1613  Model  0.60619 -5.7057E+00 0.1508 
IC_1613  Model  0.61037 -5.7174E+00 0.1520 
IC_1613  Model  0.61450 -5.7326E+00 0.1605 
IC_1613  Model  0.62063 -5.7481E+00 0.1570 
IC_1613  Model  0.62467 -5.7586E+00 0.1553 
IC_1613  Model  0.63066 -5.7752E+00 0.1639 
IC_1613  Model  0.63461 -5.7849E+00 0.1570 
IC_1613  Model  0.63853 -5.7952E+00 0.1608 
IC_1613  Model  0.64433 -5.8114E+00 0.1753 
IC_1613  Model  0.64815 -5.8201E+00 0.1694 
IC_1613  Model  0.65195 -5.8249E+00 0.1671 
IC_1613  Model  0.65758 -5.8347E+00 0.1576 
IC_1613  Model  0.66129 -5.8449E+00 0.1664 
IC_1613  Model  0.66680 -5.8479E+00 0.1774 
IC_1613  Model  0.67043 -5.8535E+00 0.1678 
IC_1613  Model  0.67403 -5.8509E+00 0.1697 
IC_1613  Model  0.67939 -5.8578E+00 0.1489 
IC_1613  Model  0.68292 -5.8528E+00 0.1523 
IC_1613  Model  0.68642 -5.8438E+00 0.1383 
IC_1613  Model  0.69162 -5.8377E+00 0.1398 
IC_1613  Model  0.69505 -5.8355E+00 0.1379 
IC_1613  Model  0.70015 -5.8227E+00 0.1399 
IC_1613  Model  0.70352 -5.8099E+00 0.1228 
IC_1613  Model  0.70686 -5.7988E+00 0.1205 
IC_1613  Model  0.71182 -5.7813E+00 0.1157 
IC_1613  Model  0.71510 -5.7614E+00 0.1102 
IC_1613  Model  0.71835 -5.7499E+00 0.0999 
IC_1613  Model  0.72319 -5.7249E+00 0.0934 
UGC_8508 Data  -1.42447 -3.9198E+00 0.3875 
UGC_8508 Data  -1.09340 -4.0897E+00 0.2922 
UGC_8508 Data  -0.92709 -4.1116E+00 0.1637 
UGC_8508 Data  -0.79239 -4.0607E+00 0.1185 
UGC_8508 Data  -0.70130 -4.0811E+00 0.1141 
UGC_8508 Data  -0.61631 -4.0642E+00 0.0870 
UGC_8508 Data  -0.55351 -4.0508E+00 0.0621 
UGC_8508 Data  -0.49867 -4.0844E+00 0.0593 
UGC_8508 Data  -0.44344 -4.1409E+00 0.0544 
UGC_8508 Data  -0.40028 -4.1657E+00 0.0436 
UGC_8508 Data  -0.35570 -4.2425E+00 0.0412 
UGC_8508 Data  -0.32013 -4.2559E+00 0.0416 
UGC_8508 Data  -0.28274 -4.3047E+00 0.0382 
UGC_8508 Data  -0.25248 -4.3098E+00 0.0350 
UGC_8508 Data  -0.22030 -4.3314E+00 0.0325 
UGC_8508 Data  -0.19397 -4.3478E+00 0.0303 
UGC_8508 Data  -0.16914 -4.3442E+00 0.0315 
UGC_8508 Data  -0.14241 -4.3362E+00 0.0313 
UGC_8508 Data  -0.12029 -4.2792E+00 0.0266 
