name,ra,dec,Vsys,D_use,dist_source,sigma_D_dex,Inc,n_pts,n_gas_dom,rms_all,rms_gas,env_class,env_dense,logMh,team_release
WALLABY J103523-281855,158.848684,-28.315463,3301.8,52.17,CF4,0.0568,61.8,7,7,0.2397,0.2397,cluster,dense,14.5,Hydra TR1
WALLABY J103244-283639,158.185507,-28.611102,3606.5,61.16,CF4,0.0535,82.6,4,4,0.1368,0.1368,cluster,dense,14.5,Hydra TR1
WALLABY J100342-270137,150.925581,-27.027123,950.6,17.33,CF4,0.0929,74.2,16,16,0.2038,0.2038,field,field,11.0,Hydra TR2
WALLABY J100351-273417,150.966205,-27.571503,2788.2,46.23,CF4,0.0596,40.1,5,5,0.2036,0.2036,field,field,11.0,Hydra TR2
WALLABY J100426-282638,151.109057,-28.444157,1091.2,18.77,CF4,0.0893,75.1,12,12,0.1184,0.1184,field,field,11.0,Hydra TR2
WALLABY J100539-282633,151.414463,-28.442512,1039.0,18.30,CF4,0.0904,68.4,8,8,0.1033,0.1033,field,field,11.0,Hydra TR2
WALLABY J101247-275028,153.199754,-27.841326,2602.6,43.37,CF4,0.0611,82.3,10,10,0.1760,0.1760,field,field,11.0,Hydra TR2
WALLABY J101359-253824,153.496384,-25.640029,3180.8,49.82,CF4,0.0578,68.8,6,6,0.0755,0.0755,field,field,11.0,Hydra TR2
WALLABY J101441-285221,153.674368,-28.872571,1095.2,18.92,CF4,0.0889,70.1,6,6,0.0847,0.0847,field,field,11.0,Hydra TR2
WALLABY J102017-253913,155.074336,-25.653777,3441.5,57.69,CF4,0.0547,40.1,4,4,0.1339,0.1339,field,field,11.0,Hydra TR2
WALLABY J103023-302336,157.597677,-30.393402,4087.7,67.82,CF4,0.0515,34.8,5,5,0.0911,0.0911,field,field,11.0,Hydra TR2
WALLABY J103359-301003,158.496590,-30.167654,3480.6,57.10,CF4,0.0549,83.2,4,4,0.1308,0.1308,field,field,11.0,Hydra TR2
WALLABY J163512-580438,248.803776,-58.077266,2739.6,29.95,CF4,0.0716,39.6,6,6,0.1904,0.1904,field,field,11.0,Norma TR1
WALLABY J163518-581311,248.829061,-58.219849,1552.9,18.20,CF4,0.0907,53.0,9,9,0.2036,0.2036,field,field,11.0,Norma TR1
WALLABY J163650-601632,249.211574,-60.275802,3402.2,41.22,CF4,0.0624,54.5,9,9,0.2094,0.2094,cluster,dense,15.0,Norma TR1
WALLABY J163916-601108,249.820691,-60.185684,3347.3,40.16,CF4,0.0631,49.3,4,4,0.0695,0.0695,cluster,dense,15.0,Norma TR1
WALLABY J163924-565221,249.852576,-56.872734,1465.8,17.24,CF4,0.0932,43.4,10,10,0.0860,0.0860,field,field,11.0,Norma TR1
WALLABY J164052-602341,250.220798,-60.394730,5266.6,78.01,CF4,0.0491,64.6,7,7,0.2178,0.2178,cluster,dense,15.0,Norma TR1
WALLABY J164157-622910,250.487708,-62.486364,4391.3,54.52,CF4,0.0559,52.2,4,4,0.2977,0.2977,field,field,11.0,Norma TR1
WALLABY J164249-610527,250.707724,-61.091025,4459.2,55.92,CF4,0.0553,78.4,4,4,0.1065,0.1065,cluster,dense,15.0,Norma TR1
WALLABY J164740-600851,251.920722,-60.147509,3270.9,38.85,CF4,0.0640,64.3,7,7,0.1391,0.1391,field,field,11.0,Norma TR1
WALLABY J165103-600109,252.765980,-60.019244,5797.5,84.01,CF4,0.0479,55.2,4,4,0.1113,0.1113,field,field,11.0,Norma TR1
WALLABY J165644-622413,254.184255,-62.403763,5098.8,76.59,CF4,0.0494,65.6,6,6,0.1639,0.1639,field,field,11.0,Norma TR1
WALLABY J165724-595238,254.350178,-59.877497,3203.7,37.91,CF4,0.0646,46.0,5,5,0.1473,0.1473,field,field,11.0,Norma TR1
WALLABY J165804-605308,254.517499,-60.885581,1031.9,12.66,CF4,0.1095,36.2,10,10,0.2251,0.2251,field,field,11.0,Norma TR1
WALLABY J165901-601241,254.754682,-60.211533,1140.9,13.79,CF4,0.1046,42.1,34,34,0.1835,0.1835,field,field,11.0,Norma TR1
WALLABY J165949-584125,254.957777,-58.690497,4754.1,69.06,CF4,0.0512,35.3,4,4,0.1365,0.1365,field,field,11.0,Norma TR1
WALLABY J123911+004305,189.797457,0.718167,5091.0,69.08,CF4,0.0512,52.2,5,5,0.1809,0.1809,field,field,11.0,NGC 4636 TR1
WALLABY J170303-614604,255.765860,-61.767899,2719.2,30.04,CF4,0.0715,34.8,8,8,0.2070,0.2070,field,field,11.0,Norma TR1
WALLABY J170659-620502,256.745912,-62.083979,1500.5,17.74,CF4,0.0919,82.2,16,16,0.0852,0.0852,field,field,11.0,Norma TR1
