sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
NGC6503,5,11159264,0.0136,9.798,0.563,122.3
NGC6674,1,15476545,0.0134,11.043,1.008,304.4
NGC6674,2,15172288,0.0230,11.056,1.006,268.3
NGC6674,3,15118185,0.0320,11.043,1.016,281.0
NGC6674,4,16157603,0.0395,11.070,1.012,248.0
NGC6674,5,14582104,0.0411,11.052,0.993,325.9
NGC6946,1,17011392,0.0170,10.508,0.617,222.1
NGC6946,2,8915063,0.0183,10.539,0.614,202.2
NGC6946,3,9088198,0.0348,10.554,0.617,196.4
NGC6946,4,18475201,0.0375,10.483,0.618,198.2
NGC6946,5,9382018,0.0382,10.559,0.617,197.8
NGC7331,1,20058967,0.0306,11.076,0.918,329.3
NGC7331,2,15134528,0.0316,11.098,0.936,310.8
NGC7331,3,20655128,0.0411,11.133,0.917,382.3
NGC7331,4,20670327,0.0441,11.109,0.911,366.6
NGC7331,5,15940995,0.0452,11.052,0.920,252.2
NGC7793,1,10975193,0.0916,9.523,0.338,118.7
NGC7793,2,12512626,0.1793,9.532,0.369,108.0
NGC7793,3,11187592,0.1996,9.454,0.369,110.9
NGC7793,4,11779821,0.2066,9.544,0.378,123.3
NGC7793,5,12366349,0.2081,9.584,0.378,116.3
UGC00128,1,12042122,0.1327,9.705,0.960,114.2
UGC00128,2,11719622,0.1334,9.725,1.042,112.5
UGC00128,3,11142072,0.1392,9.872,0.962,133.0
UGC00128,4,12285569,0.1398,9.874,0.962,127.0
UGC00128,5,10964507,0.1503,9.942,1.007,139.0
UGC00731,1,6512320,0.0058,8.202,0.587,67.0
UGC00731,2,4742985,0.0060,8.215,0.586,76.8
UGC00731,3,3995917,0.0072,8.202,0.585,74.6
UGC00731,4,5044319,0.0075,8.213,0.585,67.1
UGC00731,5,5187056,0.0079,8.210,0.584,61.0
UGC02487,1,19462908,0.0138,11.396,1.126,403.5
UGC02487,2,19891777,0.0285,11.419,1.119,416.0
UGC02487,3,19595681,0.0387,11.417,1.112,389.8
UGC02487,4,18996096,0.0561,11.425,1.106,422.3
UGC02487,5,19615774,0.0674,11.423,1.101,394.9
UGC02885,1,19987957,0.0962,11.306,1.315,383.7
UGC02885,2,19054212,0.0970,11.382,1.259,420.7
UGC02885,3,19784479,0.1342,11.319,1.327,427.0
UGC02885,4,14216102,0.1661,11.181,1.240,310.5
UGC02885,5,20782068,0.1745,11.203,1.231,378.6
UGC02916,1,15934506,0.0102,10.786,1.011,283.1
UGC02916,2,17407790,0.0279,10.765,1.010,222.2
UGC02916,3,18335391,0.0311,10.764,1.008,225.1
UGC02916,4,15589743,0.0517,10.841,1.004,246.1
UGC02916,5,14449267,0.0520,10.804,1.031,314.8
UGC02953,1,14281806,0.0472,11.065,0.769,291.1
UGC02953,2,16281214,0.0611,11.087,0.794,287.4
UGC02953,3,14632180,0.0861,11.131,0.804,351.4
UGC02953,4,15227040,0.0865,11.052,0.798,266.3
UGC02953,5,15814161,0.0946,11.031,0.755,290.7
UGC03205,1,17432570,0.0097,10.750,0.732,235.3
UGC03205,2,16561330,0.0274,10.761,0.719,239.7
UGC03205,3,17827660,0.0287,10.750,0.719,233.6
UGC03205,4,16487718,0.0335,10.763,0.717,226.1
UGC03205,5,17676396,0.0336,10.745,0.717,207.6
UGC03546,1,14757929,0.0086,10.704,0.800,224.0
UGC03546,2,17445073,0.0123,10.695,0.801,251.4
UGC03546,3,16986867,0.0146,10.719,0.806,263.7
UGC03546,4,18115428,0.0203,10.723,0.807,214.4
UGC03546,5,17799611,0.0210,10.684,0.801,219.8
UGC03580,1,11987112,0.0130,9.836,0.611,121.8
UGC03580,2,11744654,0.0140,9.833,0.614,121.6
UGC03580,3,10794788,0.0162,9.839,0.609,130.6
UGC03580,4,11381490,0.0229,9.821,0.618,117.1
UGC03580,5,12425090,0.0236,9.829,0.603,110.1
UGC05005,1,13107162,0.0023,9.314,0.730,100.7
UGC05005,2,13095366,0.0135,9.298,0.729,101.5
UGC05005,3,12327982,0.0179,9.317,0.724,102.8
UGC05005,4,12427980,0.0222,9.335,0.732,105.1
UGC05005,5,4118701,0.0252,9.326,0.737,73.2
UGC05253,1,15465662,0.0148,10.932,1.127,296.2
UGC05253,2,15605780,0.0723,10.937,1.107,278.4
UGC05253,3,14648181,0.0799,10.859,1.117,246.4
UGC05253,4,17951736,0.0844,10.853,1.146,305.6
UGC05253,5,16643441,0.0952,10.891,1.102,242.7
UGC05716,1,5185907,0.0560,8.428,0.296,67.0
UGC05716,2,3713547,0.0807,8.429,0.307,68.0
UGC05716,3,3843223,0.0862,8.404,0.303,67.4
UGC05716,4,3719986,0.0894,8.448,0.312,73.0
UGC05716,5,3657198,0.0923,8.537,0.305,78.5
UGC05721,1,61451411,0.8084,7.604,-0.301,38.7
UGC05721,2,1951154,0.9109,7.483,-0.301,44.1
UGC05721,3,62340992,0.9150,7.478,-0.301,36.7
UGC05721,4,61848531,0.9211,7.471,-0.301,40.3
UGC05721,5,1503517,0.9232,7.469,-0.301,47.2
UGC05750,1,3406805,0.0125,9.209,0.764,81.3
UGC05750,2,12368793,0.0211,9.209,0.758,102.4
UGC05750,3,3884019,0.0221,9.243,0.768,68.1
UGC05750,4,13020299,0.0260,9.250,0.762,95.9
UGC05750,5,11158965,0.0327,9.220,0.753,107.7
UGC05764,1,7360300,0.0037,7.632,0.292,47.9
UGC05764,2,336767,0.0093,7.624,0.296,50.2
UGC05764,3,306215,0.0122,7.615,0.293,47.1
UGC05764,4,1630953,0.0152,7.644,0.295,43.6
UGC05764,5,1857312,0.0177,7.612,0.290,42.1
UGC05829,1,4080166,0.0026,8.451,0.524,66.0
UGC05829,2,5119396,0.0040,8.451,0.522,63.4
UGC05829,3,4914207,0.0078,8.449,0.526,67.2
UGC05829,4,5843125,0.0080,8.459,0.524,70.1
UGC05829,5,4041644,0.0085,8.443,0.522,70.6
UGC06446,1,4094496,0.0180,8.711,0.395,79.1
UGC06446,2,13489934,0.0181,8.690,0.392,79.5
UGC06446,3,5164721,0.0190,8.703,0.404,71.9
UGC06446,4,3400490,0.0209,8.716,0.397,78.4
UGC06446,5,13564591,0.0242,8.717,0.402,84.9
UGC06614,1,16085014,0.0114,10.805,0.934,273.9
UGC06614,2,17770183,0.0138,10.785,0.928,231.7
UGC06614,3,16841705,0.0192,10.798,0.939,243.5
UGC06614,4,16601615,0.0217,10.783,0.926,227.0
UGC06614,5,16376964,0.0334,10.804,0.921,290.0
UGC06786,1,16680962,0.0086,10.566,0.778,199.8
UGC06786,2,17317485,0.0107,10.575,0.779,220.6
UGC06786,3,8824645,0.0133,10.554,0.784,204.6
UGC06786,4,18051511,0.0140,10.570,0.786,201.0
UGC06786,5,17354418,0.0166,10.576,0.777,199.7
UGC06787,1,14800188,0.0114,10.680,0.953,219.8
UGC06787,2,14289610,0.0163,10.704,0.959,237.3
UGC06787,3,16036383,0.0408,10.647,0.956,272.1
UGC06787,4,17630010,0.0415,10.730,0.962,211.3
UGC06787,5,18401511,0.0486,10.668,0.940,207.0
UGC06917,1,12410010,0.0049,9.535,0.664,104.6
UGC06917,2,11715256,0.0086,9.525,0.667,119.2
UGC06917,3,10941506,0.0135,9.523,0.663,111.4
UGC06917,4,12570262,0.0151,9.545,0.669,98.8
UGC06917,5,10410755,0.0174,9.538,0.672,112.7
UGC06930,1,11315322,0.0072,9.656,0.822,117.1
UGC06930,2,11124418,0.0132,9.645,0.816,115.7
UGC06930,3,12878080,0.0309,9.626,0.828,97.6
