galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
241306,241306,Catinella2005,5,0.109648,0.287694,0.336237,-11.707225,field,11.0
241336,241336,Catinella2005,5,0.204607,0.215617,0.284743,-11.311762,field,11.0
2414/415-031,2414/415-031,Vogt2004,1,0.0,-0.150394,-0.150394,-10.110026,dense,14.2
2415/415-032,2415/415-032,Vogt2004,1,0.0,-0.160861,-0.160861,-10.141908,dense,14.2
2423/415-037,2423/415-037,Vogt2004,1,0.0,-0.197615,-0.197615,-9.930193,dense,14.2
2426/415-039,2426/415-039,Vogt2004,1,0.0,-0.215429,-0.215429,-9.989867,dense,14.2
2444/415-048,2444/415-048,Vogt2004,1,0.0,0.099541,0.099541,-10.442938,dense,14.2
2454/M+108032,2454/M+108032,Vogt2004,1,0.0,-0.042527,-0.042527,-10.171851,dense,14.2
250443/049-108,250443/049-108,Vogt2004,1,0.0,0.274604,0.274604,-10.879355,dense,14.3
250472/049-127,250472/049-127,Vogt2004,1,0.0,0.244365,0.244365,-10.950573,dense,14.3
250632/049-151,250632/049-151,Vogt2004,1,0.0,0.201732,0.201732,-11.049427,dense,14.3
250704/077-116,250704/077-116,Vogt2004,1,0.0,0.258054,0.258054,-10.918453,dense,14.3
250740/077-119,250740/077-119,Vogt2004,1,0.0,0.305434,0.305434,-10.805678,dense,14.3
250803/077-126,250803/077-126,Vogt2004,1,0.0,0.312366,0.312366,-10.78895,dense,14.3
250896/077-135,250896/077-135,Vogt2004,1,0.0,0.342908,0.342908,-10.714468,dense,14.3
251371/108-018,251371/108-018,Vogt2004,1,0.0,-0.248543,-0.248543,-10.134358,dense,14.5
251400/108-031,251400/108-031,Vogt2004,1,0.0,-0.111108,-0.111108,-9.996257,dense,14.5
251424/108-037,251424/108-037,Vogt2004,1,0.0,0.41878,0.41878,-10.522981,dense,14.5
251434/I1155,251434/I1155,Vogt2004,1,0.0,0.159117,0.159117,-11.146662,dense,14.5
251436/108-043,251436/108-043,Vogt2004,1,0.0,0.188291,0.188291,-11.080254,dense,14.5
251445/I1157,251445/I1157,Vogt2004,1,0.0,0.248354,0.248354,-10.941233,dense,14.5
251503,251503,Vogt2004,1,0.0,0.246367,0.246367,-10.945886,dense,14.5
251509,251509,Vogt2004,1,0.0,0.319099,0.319099,-10.77264,dense,14.5
251510,251510,Vogt2004,1,0.0,0.322758,0.322758,-10.763753,dense,14.5
251744/108-023,251744/108-023,Vogt2004,1,0.0,0.205279,0.205279,-11.041267,dense,14.5
2518/389-073,2518/389-073,Vogt2004,1,0.0,-0.146265,-0.146265,-10.38485,dense,14.2
252-018,252-018,Catinella2005,10,0.082162,0.327797,0.369354,-10.674986,field,11.0
2561/I1884,2561/I1884,Vogt2004,1,0.0,-0.225776,-0.225776,-10.207796,dense,14.8
2567/I1887,2567/I1887,Vogt2004,1,0.0,-0.122197,-0.122197,-10.410983,dense,14.8
2581,2581,Vogt2004,1,0.0,-0.259482,-0.259482,-10.261192,dense,14.8
260091/108-098,260091/108-098,Vogt2004,1,0.0,-0.253984,-0.253984,-10.150791,dense,14.5
260112/108-108,260112/108-108,Vogt2004,1,0.0,-0.233956,-0.233956,-10.397647,dense,14.5
260116/108-107a,260116/108-107A,Vogt2004,1,0.0,-0.058912,-0.058912,-10.084173,dense,14.2
260146,260146,Vogt2004,1,0.0,0.288425,0.288425,-10.846467,dense,14.5
260208/108-140,260208/108-140,Vogt2004,1,0.0,0.36507,0.36507,-10.659561,dense,14.5
260226/I1192,260226/I1192,Vogt2004,1,0.0,0.439774,0.439774,-10.468028,dense,14.5
260245,260245,Vogt2004,1,0.0,0.16604,0.16604,-11.130963,dense,14.5
260246/108-155,260246/108-155,Vogt2004,1,0.0,0.217876,0.217876,-11.012192,dense,14.2
260274/108-157,260274/108-157,Vogt2004,1,0.0,0.397007,0.397007,-10.578998,dense,14.2
260284/108-158,260284/108-158,Vogt2004,1,0.0,-0.133721,-0.133721,-9.891054,dense,14.2
260302/108-163,260302/108-163,Vogt2004,1,0.0,-0.112447,-0.112447,-10.113007,dense,14.5
260350/167-056,260350/167-056,Vogt2004,1,0.0,-0.151192,-0.151192,-10.058627,dense,13.5
260481/224-011,260481/224-011,Vogt2004,1,0.0,-0.160284,-0.160284,-10.236666,dense,14.3
260502/M+734020,260502/M+734020,Vogt2004,1,0.0,-0.15842,-0.15842,-10.024203,dense,14.3
260506/N6145,260506/N6145,Vogt2004,1,0.0,-0.194688,-0.194688,-9.94916,dense,14.3
260513/N6150A,260513/N6150A,Vogt2004,1,0.0,0.32636,0.32636,-10.754985,dense,14.3
260532,260532,Vogt2004,1,0.0,0.274604,0.274604,-10.879355,dense,14.8
260538/224-028,260538/224-028,Vogt2004,1,0.0,-0.152955,-0.152955,-10.064187,dense,14.8
260543,260543,Vogt2004,1,0.0,-0.281264,-0.281264,-10.452242,dense,14.8
260561/224-036,260561/224-036,Vogt2004,1,0.0,-0.370707,-0.370707,-10.715196,dense,14.8
260571/224-037,260571/224-037,Vogt2004,1,0.0,-0.129155,-0.129155,-11.776151,dense,14.3
260572,260572,Vogt2004,1,0.0,0.32636,0.32636,-10.754985,dense,14.8
260586,260586,Vogt2004,1,0.0,0.40916,0.40916,-10.547848,dense,14.8
